#Organism group	BioProject	BioSample	Strain	Isolate	Isolate identifiers	Assembly	Run	Location	Lat/Lon	Collection date	Isolation source	Isolation type	Collected by	Host	Create date	AMR genotypes	AST phenotypes	Length	Contigs	N50	Platform	SNP cluster	Min-diff	Scientific name	Computed types	Virulence genotypes	Host disease
Klebsiella pneumoniae	PRJNA176122	SAMN01939166	JHCK	PDT000011670.2	"JHCK","MTE2","SRS399118"	GCA_000316265.2		Argentina	34.0000 S 64.0000 W	1980	cerebrospinal fluid	clinical	Tolmasky	human (infant)	2013-04-05T19:54:00Z	aac(3)-IIe=COMPLETE,aac(6')-Ib=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaOXA-9=COMPLETE,blaSCO-1=COMPLETE,blaSHV-28=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA8=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE		6015282	227	129981				Klebsiella pneumoniae JHCK1			pneumonae
Klebsiella pneumoniae	PRJNA658369	SAMN19016323	Klebsiella pneumoniae ARLG-7191	PDT001020131.1	"ARLG-7191","Klebsiella pneumoniae ARLG-7191","SRS8887216"	GCA_021959365.1	SRR14449895	Argentina		2018	urine	clinical	MDRO network	Homo sapiens	2021-05-06T05:24:52Z	aac(3)-IVa=COMPLETE,aac(6')-Ib=COMPLETE,aadA2=COMPLETE,aph(3')-Ia=COMPLETE,aph(4)-Ia=COMPLETE,blaKPC-2=COMPLETE,blaOXA=MISTRANSLATION,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA12=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,ompK35_E42RfsTer47=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,sul3=PARTIAL,sul3=PARTIAL_END_OF_CONTIG		5563006	105	215301	ILLUMINA	PDS000242427.9		Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJNA658369	SAMN19016322	Klebsiella pneumoniae ARLG-7190	PDT001020132.1	"ARLG-7190","Klebsiella pneumoniae ARLG-7190","SRS8887215"	GCA_021959385.1	SRR14449896	Argentina		2018	urine	clinical	MDRO network	Homo sapiens	2021-05-06T05:24:52Z	aac(6')-Ib=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,aadA2=PARTIAL_END_OF_CONTIG,aph(3')-Ia=COMPLETE,blaKPC-2=COMPLETE,blaOXA=MISTRANSLATION,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,catA1=COMPLETE,cmlA1=COMPLETE,dfrA12=COMPLETE,emrD=COMPLETE,estX-3=COMPLETE,fosA=COMPLETE,gyrA_D87N=POINT,gyrA_S83I=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,ompK35_Q92PfsTer7=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,sul3=COMPLETE		5860230	148	143116	ILLUMINA	PDS000046934.9		Klebsiella pneumoniae		clbB=COMPLETE,clbN=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016491	Klebsiella pneumoniae ARLG-7504	PDT001020220.1	"ARLG-7504","Klebsiella pneumoniae ARLG-7504","SRS8887775"	GCA_021957635.1	SRR14449984	Colombia		2018	urine	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:19Z	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaSHV-168=COMPLETE,blaTEM-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_D87N=POINT,ompK36_G17EfsTer6=POINT,oqxA=COMPLETE,oqxB=COMPLETE,qnrB1=COMPLETE,ramR_Q122Ter=POINT,sul2=COMPLETE,tet(A)=COMPLETE		5347099	173	72279	ILLUMINA	PDS000085670.1		Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJNA658369	SAMN19016490	Klebsiella pneumoniae ARLG-7499	PDT001020221.1	"ARLG-7499","Klebsiella pneumoniae ARLG-7499","SRS8887774"	GCA_021957685.1	SRR14449985	Colombia		2018	respiratory	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:19Z	aadA2=COMPLETE,blaCTX-M-1=COMPLETE,blaKPC-3=COMPLETE,blaOXA=MISTRANSLATION,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,dfrA12=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mrx(A)=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB19=COMPLETE,sul1=COMPLETE		5674073	185	95650	ILLUMINA	PDS000076198.13		Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016489	Klebsiella pneumoniae ARLG-7498	PDT001020222.1	"ARLG-7498","Klebsiella pneumoniae ARLG-7498","SRS8887773"	GCA_021957665.1	SRR14449986	Colombia		2018	wound	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:20Z	aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aac(6')-Ib=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,arr-3=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-3=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,catB3=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,ompK36_I67AfsTer16=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB1=COMPLETE,qnrB=COMPLETE,ramR_I176PfsTer8=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE,tet(D)=COMPLETE		5822412	146	170233	ILLUMINA	PDS000056116.16	51	Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016488	Klebsiella pneumoniae ARLG-7497	PDT001020223.1	"ARLG-7497","Klebsiella pneumoniae ARLG-7497","SRS8887772"	GCA_021957585.1	SRR14449987	Colombia		2018	wound	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:20Z	aac(3)-IIe=COMPLETE,aac(6')-Ian=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA16=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,arr-3=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-1=COMPLETE,blaOXA-1=COMPLETE,blaSHV-1=COMPLETE,blaSHV_C-112A=POINT,blaTEM-1=COMPLETE,ble=COMPLETE,catA1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA1=COMPLETE,dfrA27=COMPLETE,dfrA50=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_D87A=POINT,gyrA_S83F=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB6=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE		5962285	191	103983	ILLUMINA	PDS000076193.14		Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016487	Klebsiella pneumoniae ARLG-7496	PDT001020224.1	"ARLG-7496","Klebsiella pneumoniae ARLG-7496","SRS8887771"	GCA_021957565.1	SRR14449988	Colombia		2018	urine	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:20Z	aac(3)-IIe=COMPLETE,aac(6')-Ian=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA16=COMPLETE,aadA1=COMPLETE,aph(3')-Ia=COMPLETE,arr-3=COMPLETE,blaNDM-1=COMPLETE,blaOXA-1=COMPLETE,blaSHV-1=COMPLETE,blaSHV_C-112A=POINT,ble=COMPLETE,catA1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA1=COMPLETE,dfrA27=COMPLETE,dfrA50=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_D87A=POINT,gyrA_S83F=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB6=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE		5820374	181	105766	ILLUMINA	PDS000076193.14		Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJNA658369	SAMN19016486	Klebsiella pneumoniae ARLG-7495	PDT001020225.1	"ARLG-7495","Klebsiella pneumoniae ARLG-7495","SRS8887770"	GCA_021957525.1	SRR14449989	Colombia		2018	urine	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:21Z	aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aac(6')-Ib=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-3=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,sul2=COMPLETE,tet(D)=COMPLETE		5726294	157	119236	ILLUMINA	PDS000056116.16	50	Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016485	Klebsiella pneumoniae ARLG-7493	PDT001020226.1	"ARLG-7493","Klebsiella pneumoniae ARLG-7493","SRS8887769"	GCA_021957605.1	SRR14449990	Colombia		2018	blood	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:21Z	aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aac(6')-Ib=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,arr-3=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-3=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,catB3=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,erm=HMM,fosA=COMPLETE,gyrA_S83I=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,ompK36_I67AfsTer16=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,sul2=PARTIAL_END_OF_CONTIG,tet(B)=COMPLETE,tet(D)=COMPLETE		5926014	169	203667	ILLUMINA	PDS000056116.16	52	Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016481	Klebsiella pneumoniae ARLG-7488	PDT001020228.1	"ARLG-7488","Klebsiella pneumoniae ARLG-7488","SRS8887762"	GCA_021957465.1	SRR14449996	Colombia		2018	blood	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:22Z	aac(6')-Ib-cr5=COMPLETE,aadA16=COMPLETE,arr-3=COMPLETE,blaKPC-2=COMPLETE,blaSHV-1=COMPLETE,blaTEM=PARTIAL,dfrA27=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB19=COMPLETE,qnrB6=COMPLETE,sul1=COMPLETE		5547518	109	199017	ILLUMINA			Klebsiella pneumoniae		sty4826=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016480	Klebsiella pneumoniae ARLG-7486	PDT001020229.1	"ARLG-7486","Klebsiella pneumoniae ARLG-7486","SRS8887763"	GCA_021957445.1	SRR14449997	Colombia		2018	blood	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:22Z	aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aac(6')-Ib=COMPLETE,aac(6')-Ib=PARTIAL_END_OF_CONTIG,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-3=COMPLETE,blaOXA=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB1=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE		5450326	289	49575	ILLUMINA	PDS000056116.16	48	Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016479	Klebsiella pneumoniae ARLG-7485	PDT001020230.1	"ARLG-7485","Klebsiella pneumoniae ARLG-7485","SRS8887761"	GCA_021957505.1	SRR14449998	Colombia		2018	blood	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:22Z	aadA2=COMPLETE,blaCTX-M-1=COMPLETE,blaKPC-3=COMPLETE,blaOXA=MISTRANSLATION,blaSHV-11=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mrx(A)=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB19=COMPLETE,sul1=COMPLETE		5609471	307	48734	ILLUMINA	PDS000076198.13		Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016478	Klebsiella pneumoniae ARLG-7482	PDT001020231.1	"ARLG-7482","Klebsiella pneumoniae ARLG-7482","SRS8887760"	GCA_021957485.1	SRR14449999	Colombia		2018	urine	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:22Z	aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aac(6')-Ib-cr=PARTIAL_END_OF_CONTIG,aac(6')-Ib=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,arr-3=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-3=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,catB3=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,erm=HMM,fosA=COMPLETE,gyrA_S83I=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE,tet(D)=COMPLETE		5845586	172	130150	ILLUMINA	PDS000056116.16	51	Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016477	Klebsiella pneumoniae ARLG-7481	PDT001020232.1	"ARLG-7481","Klebsiella pneumoniae ARLG-7481","SRS8887759"	GCA_021957425.1	SRR14450000	Colombia		2018	blood	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:23Z	aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aac(6')-Ib-cr=PARTIAL_END_OF_CONTIG,aac(6')-Ib=COMPLETE,aac(6')-Ib=PARTIAL_END_OF_CONTIG,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-3=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB1=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE		5791181	156	168068	ILLUMINA	PDS000056116.16	46	Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016473	Klebsiella pneumoniae ARLG-7475	PDT001020233.1	"ARLG-7475","Klebsiella pneumoniae ARLG-7475","SRS8887753"	GCA_021957345.1	SRR14450005	Colombia		2018	urine	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:23Z	aac(3)-IIe=COMPLETE,aac(6')-Ian=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA16=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,arr-3=COMPLETE,blaNDM-1=COMPLETE,blaSHV-1=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,dfrA27=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_D87A=POINT,gyrA_S83F=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,mrx(A)=PARTIAL_END_OF_CONTIG,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE		5671388	112	133503	ILLUMINA	PDS000076193.14		Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016472	Klebsiella pneumoniae ARLG-7474	PDT001020234.1	"ARLG-7474","Klebsiella pneumoniae ARLG-7474","SRS8887754"	GCA_021957325.1	SRR14450006	Colombia		2018	blood	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:23Z	aac(6')-Ib-cr5=COMPLETE,aadA16=COMPLETE,arr-3=COMPLETE,blaKPC-2=COMPLETE,blaSHV-157=COMPLETE,blaTEM=PARTIAL,dfrA27=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=PARTIAL,qnrB6=COMPLETE,sul1=COMPLETE		5726337	115	191239	ILLUMINA	PDS000085663.1		Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJNA658369	SAMN19016471	Klebsiella pneumoniae ARLG-7472	PDT001020235.1	"ARLG-7472","Klebsiella pneumoniae ARLG-7472","SRS8887752"	GCA_021957385.1	SRR14450007	Colombia		2018	urine	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:23Z	aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aac(6')-Ib=COMPLETE,aadA5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-3=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,dfrA17=COMPLETE,emrD=COMPLETE,erm(B)=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE		5851453	178	129687	ILLUMINA	PDS000056116.16	49	Klebsiella pneumoniae		traT=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016470	Klebsiella pneumoniae ARLG-7471	PDT001020236.1	"ARLG-7471","Klebsiella pneumoniae ARLG-7471","SRS8887751"	GCA_021957365.1	SRR14450008	Colombia		2018	urine	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:24Z	aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aac(6')-Ib=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-3=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB1=COMPLETE,qnrB=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE		5685351	152	144375	ILLUMINA	PDS000056116.16	49	Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016469	Klebsiella pneumoniae ARLG-7470	PDT001020237.1	"ARLG-7470","Klebsiella pneumoniae ARLG-7470","SRS8887750"	GCA_021957405.1	SRR14450009	Colombia		2018	respiratory	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:24Z	aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aac(6')-Ib-cr=PARTIAL_END_OF_CONTIG,aac(6')-Ib=COMPLETE,aac(6')-Ib=PARTIAL_END_OF_CONTIG,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-3=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB1=COMPLETE,qnrB=PARTIAL_END_OF_CONTIG,sul2=COMPLETE,tet(D)=COMPLETE		5503808	156	113720	ILLUMINA	PDS000056116.16	48	Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016468	Klebsiella pneumoniae ARLG-7469	PDT001020238.1	"ARLG-7469","Klebsiella pneumoniae ARLG-7469","SRS8887749"	GCA_021957265.1	SRR14450010	Colombia		2018	urine	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:24Z	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-2=COMPLETE,blaOXA-1=COMPLETE,blaSHV-1=COMPLETE,blaTEM-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB25=COMPLETE,qnrB1=COMPLETE,qnrB=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE		5698811	107	152743	ILLUMINA	PDS000253936.5		Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJNA658369	SAMN19016467	Klebsiella pneumoniae ARLG-7467	PDT001020239.1	"ARLG-7467","Klebsiella pneumoniae ARLG-7467","SRS8887748"	GCA_021957245.1	SRR14450011	Colombia		2018	Non-wound abdominal	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:24Z	aac(6')-Ib-cr5=COMPLETE,aadA16=COMPLETE,arr-3=COMPLETE,blaKPC-2=COMPLETE,blaSHV-11=COMPLETE,blaTEM=PARTIAL,blaTEM=PARTIAL_END_OF_CONTIG,dfrA27=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB19=COMPLETE,qnrB6=COMPLETE,sul1=COMPLETE		5610567	137	171858	ILLUMINA			Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016466	Klebsiella quasipneumoniae subsp. quasipneumoniae ARLG-7466	PDT001020240.1	"ARLG-7466","Klebsiella quasipneumoniae subsp. quasipneumoniae ARLG-7466","SRS8887747"	GCA_021957225.1	SRR14450012	Colombia		2018	urine	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:25Z	aac(6')-Ib-cr5=COMPLETE,aadA16=COMPLETE,acrR_V165I=POINT,acrR_Y114F=POINT,arr-3=COMPLETE,blaKPC-2=COMPLETE,blaOKP-A-95=COMPLETE,blaTEM=PARTIAL,dfrA27=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,qnrB6=COMPLETE,sul1=COMPLETE		5698778	142	216587	ILLUMINA			Klebsiella quasipneumoniae subsp. quasipneumoniae			
Klebsiella pneumoniae	PRJNA658369	SAMN19016465	Klebsiella pneumoniae ARLG-7465	PDT001020241.1	"ARLG-7465","Klebsiella pneumoniae ARLG-7465","SRS8887746"	GCA_021957285.1	SRR14450013	Colombia		2018	blood	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:25Z	aac(6')-Ib=COMPLETE,blaKPC-3=COMPLETE,blaSHV-11=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT		5581900	147	110603	ILLUMINA	PDS000056116.16	48	Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA658369	SAMN19016464	Klebsiella pneumoniae ARLG-7464	PDT001020243.1	"ARLG-7464","Klebsiella pneumoniae ARLG-7464","SRS8887744"	GCA_021956985.1	SRR14450015	Colombia		2018	urine	clinical	MDRO network	Homo sapiens	2021-05-06T05:25:25Z	aac(3)-IId=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aac(6')-Ib=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-3=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB1=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE		5675176	145	181509	ILLUMINA	PDS000056116.16	51	Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
