acc	pais	bioproject	anio	st	cc258	kpc	ndm	carb
GCA_023060205.1	Brazil	PRJNA677881	2019	874	no	si	no	si
GCA_023060255.1	Brazil	PRJNA677881	2019	874	no	no	si	si
GCA_023060305.1	Brazil	PRJNA677881	2019	43	no	si	no	si
GCA_023060355.1	Brazil	PRJNA677881	2019	219	no	no	no	si
GCA_023060505.1	Brazil	PRJNA677881	2019	147	no	si	no	si
GCA_023060995.1	Brazil	PRJNA677881	2020	258	si	si	no	si
GCA_023061015.1	Brazil	PRJNA677881	2020	258	si	si	no	si
GCA_023061095.1	Brazil	PRJNA677881	2020	11	si	si	no	si
GCA_023221815.1	Argentina	PRJNA810071	2021	11	si	si	no	si
GCA_023221835.1	Argentina	PRJNA810071	2021	11	si	no	no	no
GCA_023221855.1	Argentina	PRJNA810071	2021	11	si	no	no	no
GCA_023221875.1	Argentina	PRJNA810071	2021	11	si	si	no	si
GCA_023276595.1	Brazil	PRJNA832859	2017	307	no	no	no	no
GCA_023276615.1	Brazil	PRJNA832859	2016	15	no	no	no	no
GCA_023554495.1	Chile	PRJNA839401	2014	1588	no	no	si	si
GCA_023572235.1	Brazil	PRJNA677881	2020	340	si	si	si	si
GCA_023572325.1	Brazil	PRJNA677881	2020	1229	no	no	si	si
GCA_023572345.1	Brazil	PRJNA677881	2020	16	no	no	si	si
GCA_023572385.1	Brazil	PRJNA677881	2020	11	si	si	no	si
GCA_023572615.1	Brazil	PRJNA677881	2019	258	si	si	no	si
GCA_023572675.1	Brazil	PRJNA677881	2019	874	no	si	no	si
GCA_023701585.2	Argentina	PRJNA841267	2018	18	no	si	no	si
GCA_024494945.1	Peru	PRJNA860216	2020	1774	no	no	no	si
GCA_024495065.1	Peru	PRJNA860216	2020	25	no	no	no	si
GCA_024495515.1	Peru	PRJNA860216	2020	25	no	no	no	si
GCA_024534275.1	Argentina	PRJNA845909	2019	11	si	si	no	si
GCA_024534295.1	Argentina	PRJNA845909	2019	258	si	si	no	si
GCA_024671885.1	Uruguay	PRJNA857878	2017	11	si	si	no	si
GCA_024612745.1	Uruguay	PRJNA857878	2017	11	si	si	no	si
GCA_024671735.1	Uruguay	PRJNA857878	2017	11	si	si	no	si
GCA_024671905.1	Uruguay	PRJNA857878	2017	11	si	si	no	si
GCA_024671825.1	Uruguay	PRJNA857878	2017	11	si	si	no	si
GCA_024671865.1	Uruguay	PRJNA857878	2017	11	si	si	no	si
GCA_024671805.1	Uruguay	PRJNA857878	2017	11	si	si	no	si
GCA_024610325.1	Uruguay	PRJNA857878	2017	11	si	si	si	si
GCA_024671845.1	Uruguay	PRJNA857878	2017	11	si	si	no	si
GCA_024671715.1	Uruguay	PRJNA857878	2017	11	si	si	no	si
GCA_024671695.1	Uruguay	PRJNA857878	2017	11	si	si	no	si
GCA_024671785.1	Uruguay	PRJNA857878	2017	11	si	si	no	si
GCA_024671635.1	Uruguay	PRJNA857878	2017	11	si	si	no	si
GCA_024671615.1	Uruguay	PRJNA857878	2017	11	si	si	si	si
GCA_024671655.1	Uruguay	PRJNA857878	2017	11	si	si	no	si
GCA_024650065.1	Brazil	PRJNA830894	2014	437	si	si	no	si
GCA_024650125.1	Brazil	PRJNA830894	2015	11	si	si	no	si
GCA_024650155.1	Brazil	PRJNA830894	2013	340	si	si	no	si
GCA_024650185.1	Brazil	PRJNA830894	2016	437	si	si	no	si
GCA_024650245.1	Brazil	PRJNA830894	2016	11	si	si	no	si
GCA_024650265.1	Brazil	PRJNA830894	2012	11	si	no	no	no
GCA_024650305.1	Brazil	PRJNA830894	2016	16	no	si	no	si
GCA_024650315.1	Brazil	PRJNA830894	2016	437	si	si	no	si
GCA_024650325.1	Brazil	PRJNA830894	2016	11	si	si	no	si
GCA_024650385.1	Brazil	PRJNA830894	2016	11	si	si	no	si
GCA_024650415.1	Brazil	PRJNA830894	2015	437	si	si	no	si
GCA_024650425.1	Brazil	PRJNA830894	2016	11	si	si	no	si
GCA_024650465.1	Brazil	PRJNA830894	2017	340	si	si	no	si
GCA_024650485.1	Brazil	PRJNA830894	2014	15	no	si	no	si
GCA_024650505.1	Brazil	PRJNA830894	2015	437	si	si	no	si
GCA_024650545.1	Brazil	PRJNA830894	2014	437	si	si	no	si
GCA_024650555.1	Brazil	PRJNA830894	2014	437	si	si	no	si
GCA_024650605.1	Brazil	PRJNA830894	2014	437	si	si	no	si
GCA_024650655.1	Brazil	PRJNA830894	2014	437	si	si	no	si
GCA_024650645.1	Brazil	PRJNA830894	2017	11	si	si	no	si
GCA_024650705.1	Brazil	PRJNA830894	2017	437	si	si	no	si
GCA_024650725.1	Brazil	PRJNA830894	2016	437	si	si	no	si
GCA_024650745.1	Brazil	PRJNA830894	2011	11	si	si	no	si
GCA_024650765.1	Brazil	PRJNA830894	2017	11	si	si	no	si
GCA_024650785.1	Brazil	PRJNA830894	2014	437	si	si	no	si
GCA_024650795.1	Brazil	PRJNA830894	2014	15	no	si	no	si
GCA_024650825.1	Brazil	PRJNA830894	2014	16	no	si	no	si
GCA_024650835.1	Brazil	PRJNA830894	2014	437	si	si	no	si
GCA_024650855.1	Brazil	PRJNA830894	2014	437	si	si	no	si
GCA_024650885.1	Brazil	PRJNA830894	2014	437	si	si	no	si
GCA_024650905.1	Brazil	PRJNA830894	2014	437	si	si	no	si
GCA_024650925.1	Brazil	PRJNA830894	2015	437	si	si	no	si
GCA_024650955.1	Brazil	PRJNA830894	2015	15	no	no	no	no
GCA_024650945.1	Brazil	PRJNA830894	2014	437	si	si	no	si
GCA_024650985.1	Brazil	PRJNA830894	2016	16	no	no	no	no
GCA_024651005.1	Brazil	PRJNA830894	2016	16	no	no	no	no
GCA_024651025.1	Brazil	PRJNA830894	2016	16	no	si	no	si
GCA_024651035.1	Brazil	PRJNA830894	2016	11	si	si	no	si
GCA_024651065.1	Brazil	PRJNA830894	2016	11	si	si	no	si
GCA_024651075.1	Brazil	PRJNA830894	2016	11	si	si	no	si
GCA_024651105.1	Brazil	PRJNA830894	2016	11	si	si	no	si
GCA_024651125.1	Brazil	PRJNA830894	2016	437	si	si	no	si
GCA_024651155.1	Brazil	PRJNA830894	2017	11	si	si	no	si
GCA_024651145.1	Brazil	PRJNA830894	2016	16	no	no	no	no
GCA_024651185.1	Brazil	PRJNA830894	2017	16	no	si	no	si
GCA_024651195.1	Brazil	PRJNA830894	2017	11	si	no	no	no
GCA_024651775.1	Brazil	PRJNA830894	2013	15	no	si	no	si
GCA_024651825.1	Brazil	PRJNA830894	2013	15	no	no	no	no
GCA_024651845.1	Brazil	PRJNA830894	2013	437	si	si	no	si
GCA_024651865.1	Brazil	PRJNA830894	2013	437	si	si	no	si
GCA_024651885.1	Brazil	PRJNA830894	2014	11	si	si	no	si
GCA_024651895.1	Brazil	PRJNA830894	2016	16	no	si	no	si
GCA_024651925.1	Brazil	PRJNA830894	2020	437	si	si	no	si
GCA_024651975.1	Brazil	PRJNA830894	2016	11	si	si	no	si
GCA_024652015.1	Brazil	PRJNA830894	2020	16	no	si	no	si
GCA_024652065.1	Brazil	PRJNA830894	2020	307	no	no	no	no
GCA_024652115.1	Brazil	PRJNA830894	2020	13	no	si	no	si
GCA_024652125.1	Brazil	PRJNA830894	2020	437	si	si	no	si
GCA_024652205.1	Brazil	PRJNA830894	2020	437	si	si	no	si
GCA_024652265.1	Brazil	PRJNA830894	2020	11	si	si	no	si
GCA_024652385.1	Brazil	PRJNA830894	2021	16	no	si	no	si
GCA_024652555.1	Brazil	PRJNA830894	2021	307	no	no	no	no
GCA_024652545.1	Brazil	PRJNA830894	2020	11	si	si	no	si
GCA_024652625.1	Brazil	PRJNA830894	2020	16	no	si	no	si
GCA_024652675.1	Brazil	PRJNA830894	2019	101	no	si	no	si
GCA_024652695.1	Brazil	PRJNA830894	2018	437	si	si	no	si
GCA_024652805.1	Brazil	PRJNA830894	2019	443	no	si	no	si
GCA_024734055.1	Argentina	PRJNA780904	2015	340	si	si	no	si
GCA_024742235.1	Argentina	PRJNA870418	2019	11	si	no	si	si
GCA_024742255.1	Argentina	PRJNA870418	2019	11	si	no	si	si
GCA_024813465.1	Brazil	PRJNA823356	2017	7373	no	no	no	no
GCA_024813455.1	Brazil	PRJNA823356	2016	15	no	si	no	si
GCA_024813535.1	Brazil	PRJNA823356	2016	307	no	si	no	si
GCA_024813565.1	Brazil	PRJNA823356	2017	307	no	no	no	no
GCA_024813555.1	Brazil	PRJNA823356		437	si	si	no	si
GCA_024813675.1	Brazil	PRJNA823356	2017	11	si	no	no	no
GCA_024813735.1	Brazil	PRJNA823356	2016	11	si	no	no	no
GCA_024813755.1	Brazil	PRJNA823356	2017	15	no	no	no	no
GCA_024813765.1	Brazil	PRJNA823356	2017	11	si	no	no	no
GCA_024813785.1	Brazil	PRJNA823356	2019	258	si	si	no	si
GCA_024813815.1	Brazil	PRJNA823356	2017	11	si	si	no	si
GCA_024813855.1	Brazil	PRJNA823356	2016	437	si	si	no	si
GCA_024813875.1	Brazil	PRJNA823356	2016	340	si	si	no	si
GCA_024814275.1	Brazil	PRJNA823356	2016	1045	no	si	no	si
GCA_024919375.1	Ecuador	PRJNA872500	2021	13	no	no	si	si
GCA_025399265.1	Argentina	PRJNA841267	2018	258	si	si	no	si
GCA_025399355.1	Argentina	PRJNA882113	2019	11	si	si	no	si
GCA_025399375.1	Argentina	PRJNA841267	2019	11	si	si	no	si
GCA_025399395.1	Argentina	PRJNA882113	2019	11	si	si	no	si
GCA_025399535.1	Argentina	PRJNA882113	2019	11	si	si	no	si
GCA_025399555.1	Argentina	PRJNA882113	2019	11	si	si	no	si
GCA_026191785.1	Brazil	PRJNA660546	2017	11	si	si	no	si
GCA_026191935.1	Brazil	PRJNA660548	2018	11	si	no	no	no
GCA_026191975.1	Brazil	PRJNA660551	2017	11	si	no	si	si
GCA_026222735.1	Brazil	PRJNA879417	2021	11	si	no	si	si
GCA_026222745.1	Brazil	PRJNA879417	2018	11	si	no	si	si
GCA_026222835.1	Brazil	PRJNA879417	2019	11	si	no	si	si
GCA_026222865.1	Brazil	PRJNA879417	2020	281	no	no	no	no
GCA_026222845.1	Brazil	PRJNA879417	2021	147	no	no	si	si
GCA_026222875.1	Brazil	PRJNA879417	2017	534	no	no	si	si
GCA_026222935.1	Brazil	PRJNA879417	2019	147	no	no	si	si
GCA_026222945.1	Brazil	PRJNA879417	2019	15	no	no	si	si
GCA_026222955.1	Brazil	PRJNA879417	2019	395	no	no	si	si
GCA_026223005.1	Brazil	PRJNA879417	2020	11	si	no	si	si
GCA_026223035.1	Brazil	PRJNA879417	2020	11	si	no	no	no
GCA_026223055.1	Brazil	PRJNA879417	2019	11	si	no	si	si
GCA_026223065.1	Brazil	PRJNA879417	2020	11	si	no	si	si
GCA_026223095.1	Brazil	PRJNA879417	2018	16	no	no	si	si
GCA_026223115.1	Brazil	PRJNA879417	2019	43	no	no	si	si
GCA_026223135.1	Brazil	PRJNA879417	2019	37	no	no	si	si
GCA_026223155.1	Brazil	PRJNA879417	2017	464	no	no	si	si
GCA_026223175.1	Brazil	PRJNA879417	2019	874	no	no	si	si
GCA_026223205.1	Brazil	PRJNA879417	2017	336	no	no	si	si
GCA_026223235.1	Brazil	PRJNA879417	2021	11	si	si	si	si
GCA_026223255.1	Brazil	PRJNA879417	2021	11	si	si	si	si
GCA_026223265.1	Brazil	PRJNA879417	2019	15	no	no	si	si
GCA_026223285.1	Brazil	PRJNA879417	2019	460	no	si	si	si
GCA_026223315.1	Brazil	PRJNA879417	2019	6244	no	no	si	si
GCA_026223335.1	Brazil	PRJNA879417	2019	307	no	no	si	si
GCA_026223375.1	Brazil	PRJNA879417	2021	17	no	no	si	si
GCA_026223395.1	Brazil	PRJNA879417	2021	3128	no	si	si	si
GCA_026223435.1	Brazil	PRJNA879417	2019	392	no	no	si	si
GCA_026223455.1	Brazil	PRJNA879417	2019	392	no	no	si	si
GCA_026223475.1	Brazil	PRJNA879417	2019	392	no	no	si	si
GCA_026223515.1	Brazil	PRJNA879417	2021	485	no	no	si	si
GCA_026223555.1	Brazil	PRJNA879417	2016	15	no	no	si	si
GCA_026223575.1	Brazil	PRJNA879417	2021	11	si	si	no	si
GCA_026223615.1	Brazil	PRJNA879417	2015	340	si	no	no	no
GCA_026223715.1	Brazil	PRJNA879417	2020	6245	no	no	si	si
GCA_026223735.1	Brazil	PRJNA879417	2021	11	si	si	si	si
GCA_026223755.1	Brazil	PRJNA879417	2018	11	si	no	si	si
GCA_026223775.1	Brazil	PRJNA879417	2020	6245	no	no	si	si
GCA_026355915.1	Paraguay	PRJEB56918	2020	15	no	no	no	no
GCA_026355855.1	Paraguay	PRJEB56918	2020	5116	no	no	no	no
GCA_026355875.1	Paraguay	PRJEB56918	2020	11	si	no	no	no
GCA_026355775.1	Paraguay	PRJEB56918	2020	11	si	no	no	no
GCA_026355795.1	Paraguay	PRJEB56918	2020	307	no	no	no	no
GCA_026301115.1	Paraguay	PRJEB56918	2020	220	no	no	no	no
GCA_026355755.1	Paraguay	PRJEB56918	2020	15	no	no	si	si
GCA_026302035.1	Paraguay	PRJEB56918	2020	11	si	no	no	no
GCA_026355655.1	Paraguay	PRJEB56918	2020	3690	no	no	no	no
GCA_026355715.1	Paraguay	PRJEB56918	2020	17	no	no	no	no
GCA_026303395.1	Paraguay	PRJEB56918	2020	1128	no	no	si	si
GCA_026355675.1	Paraguay	PRJEB56918	2020	15	no	no	no	no
GCA_026303595.1	Paraguay	PRJEB56918	2020	147	no	no	no	no
GCA_026355695.1	Paraguay	PRJEB56918	2020	1574	no	no	no	no
GCA_026355615.1	Paraguay	PRJEB56918	2020	200	no	no	no	no
GCA_026355575.1	Paraguay	PRJEB56918	2020	147	no	no	no	no
GCA_026355595.1	Paraguay	PRJEB56918	2020	483	no	no	no	no
GCA_026355555.1	Paraguay	PRJEB56918	2020	1	no	no	no	no
GCA_026355495.1	Paraguay	PRJEB56918	2020	45	no	no	no	no
GCA_026355515.1	Paraguay	PRJEB56918	2020	35	no	no	no	no
GCA_026355475.1	Paraguay	PRJEB56918	2020	45	no	no	no	no
GCA_026355435.1	Paraguay	PRJEB56918	2020	392	no	si	no	si
GCA_026355375.1	Paraguay	PRJEB56918	2020	7241	no	no	no	no
GCA_026355415.1	Paraguay	PRJEB56918	2020	1653	no	no	no	no
GCA_026355355.1	Paraguay	PRJEB56918	2020	1653	no	no	no	no
GCA_026355315.1	Paraguay	PRJEB56918	2020	15	no	no	no	no
GCA_026355275.1	Paraguay	PRJEB56918	2020	7240	no	no	no	no
GCA_026355335.1	Paraguay	PRJEB56918	2020	247	no	no	no	no
GCA_026355245.1	Paraguay	PRJEB56918	2020	281	no	si	no	si
GCA_026355295.1	Paraguay	PRJEB56918	2020	43	no	no	no	no
GCA_026355235.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026355215.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026303115.1	Paraguay	PRJEB56918	2020	15	no	no	no	no
GCA_026355195.1	Paraguay	PRJEB56918	2020	7242	no	no	no	no
GCA_026355115.1	Paraguay	PRJEB56918	2020	11	si	no	no	no
GCA_026355095.1	Paraguay	PRJEB56918	2020	101	no	no	no	no
GCA_026355055.1	Paraguay	PRJEB56918	2020	1625	no	no	no	no
GCA_026355015.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026355035.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026354955.1	Paraguay	PRJEB56918	2020	1876	no	no	no	no
GCA_026305345.1	Paraguay	PRJEB56918	2020	17	no	no	no	no
GCA_026354935.1	Paraguay	PRJEB56918	2020	15	no	no	no	no
GCA_026304215.1	Paraguay	PRJEB56918	2020	17	no	no	no	no
GCA_026354995.1	Paraguay	PRJEB56918	2020	281	no	si	no	si
GCA_026354915.1	Paraguay	PRJEB56918	2020	17	no	no	no	no
GCA_026354855.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026354875.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026354835.1	Paraguay	PRJEB56918	2020	86	no	no	no	no
GCA_026354815.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026354755.1	Paraguay	PRJEB56918	2020	15	no	no	no	no
GCA_026354775.1	Paraguay	PRJEB56918	2020	307	no	no	no	no
GCA_026354715.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026303775.1	Paraguay	PRJEB56918	2020	-	no	no	no	no
GCA_026354735.1	Paraguay	PRJEB56918	2020	7243	no	no	no	no
GCA_026354675.1	Paraguay	PRJEB56918	2020	268	no	no	no	no
GCA_026354655.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026303355.1	Paraguay	PRJEB56918	2020	294	no	no	no	no
GCA_026314815.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026354635.1	Paraguay	PRJEB56918	2020	25	no	no	no	no
GCA_026314775.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026354615.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026354555.1	Paraguay	PRJEB56918	2020	14	no	no	no	no
GCA_026303075.1	Paraguay	PRJEB56918	2020	39	no	si	no	si
GCA_026354515.1	Paraguay	PRJEB56918	2020	8	no	no	no	no
GCA_026354535.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026305305.1	Paraguay	PRJEB56918	2020	147	no	no	no	no
GCA_026354475.1	Paraguay	PRJEB56918	2020	1128	no	no	si	si
GCA_026354495.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026354455.1	Paraguay	PRJEB56918	2020	20	no	no	no	no
GCA_026354415.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026354395.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026354355.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026354335.1	Paraguay	PRJEB56918	2020	11	si	no	si	si
GCA_026354315.1	Paraguay	PRJEB56918	2020	1948	no	no	no	no
GCA_026354275.1	Paraguay	PRJEB56918	2020	219	no	no	no	no
GCA_026305215.1	Paraguay	PRJEB56918	2020	-	no	no	no	no
GCA_026354035.1	Paraguay	PRJEB56918	2020	34	no	no	no	no
GCA_026312955.1	Ecuador	PRJEB56918	2020	152	no	si	no	si
GCA_026340535.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026340555.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026311835.1	Ecuador	PRJEB56918	2020	258	si	si	no	si
GCA_026340485.1	Ecuador	PRJEB56918	2020	39	no	si	no	si
GCA_026340435.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026340415.1	Ecuador	PRJEB56918	2020	258	si	si	no	si
GCA_026340335.1	Ecuador	PRJEB56918	2020	152	no	si	no	si
GCA_026312975.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026340345.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026312935.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026340195.1	Ecuador	PRJEB56918	2020	258	si	si	no	si
GCA_026347275.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026312915.1	Ecuador	PRJEB56918	2020	307	no	si	no	si
GCA_026340235.1	Ecuador	PRJEB56918	2020	258	si	si	no	si
GCA_026340155.1	Ecuador	PRJEB56918	2020	22	no	si	no	si
GCA_026340215.1	Ecuador	PRJEB56918	2020	512	si	si	no	si
GCA_026340375.1	Ecuador	PRJEB56918	2020	307	no	si	no	si
GCA_026344435.1	Ecuador	PRJEB56918	2020	307	no	si	no	si
GCA_026338915.1	Ecuador	PRJEB56918	2020	152	no	si	no	si
GCA_026338895.1	Ecuador	PRJEB56918	2020	258	si	si	no	si
GCA_026338815.1	Ecuador	PRJEB56918	2020	258	si	si	no	si
GCA_026338835.1	Ecuador	PRJEB56918	2020	258	si	si	no	si
GCA_026338785.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026338735.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026338695.1	Ecuador	PRJEB56918	2020	258	si	si	no	si
GCA_026338675.1	Ecuador	PRJEB56918	2020	152	no	si	no	si
GCA_026312895.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026338615.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026311815.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026338575.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026338595.1	Ecuador	PRJEB56918	2020	1393	no	si	no	si
GCA_026338515.1	Ecuador	PRJEB56918	2020	258	si	si	no	si
GCA_026338345.1	Ecuador	PRJEB56918	2020	258	si	si	no	si
GCA_026338215.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026338175.1	Ecuador	PRJEB56918	2020	45	no	si	no	si
GCA_026338135.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026338095.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026338195.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026311035.1	Ecuador	PRJEB56918	2020	307	no	si	no	si
GCA_026312875.1	Ecuador	PRJEB56918	2020	307	no	si	no	si
GCA_026338035.1	Ecuador	PRJEB56918	2020	307	no	si	no	si
GCA_026312855.1	Ecuador	PRJEB56918	2020	11	si	si	no	si
GCA_026337995.1	Ecuador	PRJEB56918	2020	307	no	si	no	si
GCA_026337905.1	Ecuador	PRJEB56918	2020	152	no	si	no	si
GCA_026337925.1	Ecuador	PRJEB56918	2020	307	no	si	no	si
GCA_026311075.1	Ecuador	PRJEB56918	2020	152	no	si	no	si
GCA_026322575.1	Colombia	PRJEB56918	2020	60	no	no	no	no
GCA_026322515.1	Colombia	PRJEB56918	2020	1229	no	no	si	si
GCA_027945645.1	Brazil	PRJNA867691	2020	16	no	si	no	si
GCA_028210855.1	Brazil	PRJNA915989	2018	11	si	si	no	si
GCA_029075925.1	Brazil	PRJNA940446	2021	16	no	si	no	si
GCA_029075945.1	Brazil	PRJNA940446	2021	6386	no	si	no	si
GCA_029075965.1	Brazil	PRJNA940446	2021	392	no	si	no	si
GCA_029075985.1	Brazil	PRJNA940446	2021	258	si	si	no	si
GCA_029075995.1	Brazil	PRJNA940446	2021	16	no	si	no	si
GCA_029076025.1	Brazil	PRJNA940446	2021	11	si	no	no	no
GCA_029076045.1	Brazil	PRJNA940446	2021	392	no	si	no	si
GCA_029076085.1	Brazil	PRJNA940446	2021	567	no	si	no	si
GCA_029076065.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029076075.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029076125.1	Brazil	PRJNA940446	2021	258	si	si	no	si
GCA_029076145.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029076165.1	Brazil	PRJNA940446	2021	512	si	si	no	si
GCA_029076175.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029076185.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029076225.1	Brazil	PRJNA940446	2021	45	no	si	no	si
GCA_029076245.1	Brazil	PRJNA940446	2021	16	no	si	no	si
GCA_029076265.1	Brazil	PRJNA940446	2021	37	no	si	no	si
GCA_029076275.1	Brazil	PRJNA940446	2021	16	no	si	no	si
GCA_029076285.1	Brazil	PRJNA940446	2021	16	no	si	no	si
GCA_029076325.1	Brazil	PRJNA940446	2021	258	si	si	no	si
GCA_029076345.1	Brazil	PRJNA940446	2021	101	no	si	no	si
GCA_029076365.1	Brazil	PRJNA940446	2021	16	no	si	no	si
GCA_029076375.1	Brazil	PRJNA940446	2021	437	si	si	no	si
GCA_029076395.1	Brazil	PRJNA940446	2021	437	si	si	no	si
GCA_029078715.1	Brazil	PRJNA940446	2021	512	si	si	no	si
GCA_029078745.1	Brazil	PRJNA940446	2021	17	no	si	no	si
GCA_029078755.1	Brazil	PRJNA940446	2021	307	no	si	no	si
GCA_029078785.1	Brazil	PRJNA940446	2021	258	si	si	no	si
GCA_029078805.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029078815.1	Brazil	PRJNA940446	2021	101	no	si	no	si
GCA_029078845.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029078855.1	Brazil	PRJNA940446	2021	258	si	si	no	si
GCA_029078885.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029078905.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029078915.1	Brazil	PRJNA940446	2021	258	si	si	no	si
GCA_029078945.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029078955.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029078975.1	Brazil	PRJNA940446	2021	16	no	si	no	si
GCA_029079015.1	Brazil	PRJNA940446	2021	307	no	si	no	si
GCA_029079005.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029079055.1	Brazil	PRJNA940446	2021	20	no	si	no	si
GCA_029079045.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029079065.1	Brazil	PRJNA940446	2021	16	no	si	no	si
GCA_029079105.1	Brazil	PRJNA940446	2021	16	no	si	no	si
GCA_029079125.1	Brazil	PRJNA940446	2021	437	si	si	no	si
GCA_029079145.1	Brazil	PRJNA940446	2022	258	si	si	no	si
GCA_029079165.1	Brazil	PRJNA940446	2021	340	si	si	no	si
GCA_029079175.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029079205.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029079225.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029079265.1	Brazil	PRJNA940446	2021	6326	no	no	no	no
GCA_029079285.1	Brazil	PRJNA940446	2022	16	no	si	no	si
GCA_029079305.1	Brazil	PRJNA940446	2022	258	si	si	no	si
GCA_029079325.1	Brazil	PRJNA940446	2021	16	no	si	no	si
GCA_029079345.1	Brazil	PRJNA940446	2021	437	si	si	no	si
GCA_029079365.1	Brazil	PRJNA940446	2021	16	no	si	no	si
GCA_029079375.1	Brazil	PRJNA940446	2022	11	si	si	no	si
GCA_029079395.1	Brazil	PRJNA940446	2021	16	no	si	no	si
GCA_029079425.1	Brazil	PRJNA940446	2021	258	si	si	no	si
GCA_029079445.1	Brazil	PRJNA940446	2021	307	no	si	no	si
GCA_029079465.1	Brazil	PRJNA940446	2022	101	no	si	no	si
GCA_029079475.1	Brazil	PRJNA940446	2021	437	si	si	no	si
GCA_029079495.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029079525.1	Brazil	PRJNA940446	2021	437	si	si	no	si
GCA_029079545.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029079575.1	Brazil	PRJNA940446	2021	16	no	si	no	si
GCA_029079565.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029079605.1	Brazil	PRJNA940446	2021	16	no	si	no	si
GCA_029079625.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029079635.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029079665.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029079685.1	Brazil	PRJNA940446	2022	258	si	si	no	si
GCA_029079695.1	Brazil	PRJNA940446	2022	16	no	si	no	si
GCA_029079725.1	Brazil	PRJNA940446	2021	392	no	si	no	si
GCA_029079745.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029079765.1	Brazil	PRJNA940446	2021	258	si	si	no	si
GCA_029079775.1	Brazil	PRJNA940446	2021	101	no	si	no	si
GCA_029079805.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029079825.1	Brazil	PRJNA940446	2021	11	si	si	no	si
GCA_029079845.1	Brazil	PRJNA940446	2021	307	no	si	no	si
