accesion	tipo_registro	bioproject	biosample	pais	ciudad	anio	fecha_colecta	fuente_aislamiento	tipo_aislamiento	hospedero	colector	plataforma	n_contigs	longitud_total	st_pasteur	st_oxford	kl	ocl	carbapenemasa_adquirida	genes_carbapenemasa	tipos_rep_apt	oxa72_contexto
GCA_003595755.1	ensamblado_publico	PRJNA489088	SAMN09951346	Bolivia	Cochabamba	2016	2016-05	Catheter	clinical	Homo sapiens	Hospital Viedma		475	4092653	991	1518	KL9	OCL5	si	blaOXA-23	rP-T1	
GCA_003595765.1	ensamblado_publico	PRJNA489088	SAMN09951345	Bolivia	Cochabamba	2016	2016-05	Catheter	clinical	Homo sapiens	Hospital Viedma		244	3976741	25	1519	KL33	OCL5	si	blaOXA-23	r3-T1	
GCA_003595805.1	ensamblado_publico	PRJNA489088	SAMN09951343	Bolivia	Cochabamba	2016	2016-04	Wound secretion	clinical	Homo sapiens	Hospital Viedma		315	3817633	991	1518	KL9	OCL5	si	blaOXA-23	r3-T1	
GCA_003595815.1	ensamblado_publico	PRJNA489088	SAMN09951342	Bolivia	Cochabamba	2016	2016-03	Lumbosacral ulcer	clinical	Homo sapiens	Hospital Viedma		269	4035713	25	1529	KL37	OCL10	si	blaOXA-23	r3-T14	
GCA_003595835.1	ensamblado_publico	PRJNA489088	SAMN09951338	Bolivia	Cochabamba	2016	2016-03	Wound secretion	clinical	Homo sapiens	Hospital Viedma		217	3908787	991	1518	KL9	OCL5	si	blaOXA-23	r3-T1	
GCA_003595865.1	ensamblado_publico	PRJNA489088	SAMN09951337	Bolivia	Cochabamba	2016	2016-03	Urine Culture	clinical	Homo sapiens	Hospital Viedma		298	3750793	25	1529	KL37	OCL10	si	blaOXA-23	r3-T14	
GCA_003595875.1	ensamblado_publico	PRJNA489088	SAMN09951336	Bolivia	Cochabamba	2016	2016-02	Urine Culture	clinical	Homo sapiens	Hospital Viedma		450	4187379	79	-	KL9	OCL10	no	ninguna	r3-T1,rP-T1	
GCA_003595885.1	ensamblado_publico	PRJNA489088	SAMN09951335	Bolivia	Cochabamba	2016	2016-02	Knee-joint exudate	clinical	Homo sapiens	Hospital Viedma		401	4054292	991	1518	KL9	OCL13	no	ninguna	r3-T1	
GCA_003595925.1	ensamblado_publico	PRJNA489088	SAMN09951334	Bolivia	Cochabamba	2016	2016-02	Tracheal secretion	clinical	Homo sapiens	Hospital Viedma		355	4214192	25	1519	KL33	OCL5	si	blaOXA-23	r3-T1,rP-T1	
GCA_003595935.1	ensamblado_publico	PRJNA489088	SAMN09951332	Bolivia	Cochabamba	2016	2016-02	Ulcer	clinical	Homo sapiens	Hospital Viedma		400	4086874	25	1489	KL22	OCL5	si	blaOXA-23	ninguno	
GCA_003595955.1	ensamblado_publico	PRJNA489088	SAMN09951331	Bolivia	Cochabamba	2016	2016-02	Catheter	clinical	Homo sapiens	Hospital Viedma		177	4081797	25	1489	KL22	OCL13	si	blaOXA-23	ninguno	
GCA_003595985.1	ensamblado_publico	PRJNA489088	SAMN09951328	Bolivia	Cochabamba	2016	2016-01	Urine Culture	clinical	Homo sapiens	Hospital Viedma		172	4248368	79	-	KL22	OCL10	no	ninguna	r3-T1,rP-T1	
GCA_003595995.1	ensamblado_publico	PRJNA489088	SAMN09951326	Bolivia	Cochabamba	2016	2016-05	Tracheal Secretion	clinical	Homo sapiens	Hospital Materno-Infantil		574	3768050	991	1518	KL9	OCL13	si	blaOXA-23	ninguno	
GCA_003596015.1	ensamblado_publico	PRJNA489088	SAMN09951325	Bolivia	Cochabamba	2016	2016-04	Blood Culture	clinical	Homo sapiens	Hospital Materno-Infantil		353	3780541	991	1518	KL9	OCL13	si	blaOXA-23	ninguno	
GCA_003596025.1	ensamblado_publico	PRJNA489088	SAMN09951320	Bolivia	Cochabamba	2015	2015-11	Tracheal Secretion	clinical	Homo sapiens	Hospital Materno-Infantil		150	4066042	991	1518	KL9	OCL5	si	blaOXA-23	r3-T1	
GCA_003596065.1	ensamblado_publico	PRJNA489088	SAMN09951319	Bolivia	Cochabamba	2015	2015-11	Endotracheal tube	clinical	Homo sapiens	Hospital Materno-Infantil		294	4120243	991	1518	KL9	OCL5	si	blaOXA-23	r3-T1	
GCA_003596075.1	ensamblado_publico	PRJNA489088	SAMN09951317	Bolivia	Cochabamba	2015	2015-10	Tracheal Secretion	clinical	Homo sapiens	Hospital Materno-Infantil		115	4202770	991	1518	KL9	OCL5	si	blaOXA-23	r3-T1	
GCA_003596105.1	ensamblado_publico	PRJNA489088	SAMN09951316	Bolivia	Cochabamba	2015	2015-10	Endotracheal tube	clinical	Homo sapiens	Hospital Materno-Infantil		404	3813284	991	1518	KL9	OCL13	si	blaOXA-23	r3-T1	
GCA_003596125.1	ensamblado_publico	PRJNA489088	SAMN09951344	Bolivia	Cochabamba	2016	2016-04	Tracheal secretion	clinical	Homo sapiens	Hospital Viedma		137	3848564	25	1529	KL127	OCL10	si	blaOXA-23	r3-T14,rP-T1	
GCA_003596135.1	ensamblado_publico	PRJNA489088	SAMN09951340	Bolivia	Cochabamba	2016	2016-03	Secretion	clinical	Homo sapiens	Hospital Viedma		421	3943155	25	1519	KL33	OCL13	si	blaOXA-23	r3-T1,r3-T14	
GCA_003596165.1	ensamblado_publico	PRJNA489088	SAMN09951339	Bolivia	Cochabamba	2016	2016-03	Tracheal secretion	clinical	Homo sapiens	Hospital Viedma		146	4125246	267	942	KL9	OCL2	no	ninguna	r3-T13,rP-T1	
GCA_003596175.1	ensamblado_publico	PRJNA489088	SAMN09951329	Bolivia	Cochabamba	2016	2016-02	Pressure ulcer	clinical	Homo sapiens	Hospital Viedma		334	3998659	25	1528	KL49	OCL13	si	blaOXA-23	r3-T1	
GCA_003596205.1	ensamblado_publico	PRJNA489088	SAMN09951324	Bolivia	Cochabamba	2016	2016-04	Foley Catheter	clinical	Homo sapiens	Hospital Materno-Infantil		185	3963193	25	1519	KL33	OCL13	si	blaOXA-23	r3-T1,rP-T1	
GCA_003596215.1	ensamblado_publico	PRJNA489088	SAMN09951323	Bolivia	Cochabamba	2016	2016-04	Blood Culture	clinical	Homo sapiens	Hospital Materno-Infantil		469	4162078	79	-	KL9	OCL10	no	ninguna	rP-T1	
GCA_003596235.1	ensamblado_publico	PRJNA489088	SAMN09951322	Bolivia	Cochabamba	2016	2016-03	Blood Culture	clinical	Homo sapiens	Hospital Materno-Infantil		234	4190224	25	1519	KL33	OCL5	si	blaOXA-23	r3-T1,rP-T1	
GCA_003596265.1	ensamblado_publico	PRJNA489088	SAMN09951321	Bolivia	Cochabamba	2016	2016-02	Pleural Tube	clinical	Homo sapiens	Hospital Materno-Infantil		456	4033728	991	1518	KL9	OCL13	si	blaOXA-23	r3-T1	
GCA_003596275.1	ensamblado_publico	PRJNA489088	SAMN09951318	Bolivia	Cochabamba	2015	2015-10	tracheal aspirate	clinical	Homo sapiens	Hospital Materno-Infantil		621	4146123	991	1518	KL9	OCL5	si	blaOXA-23	r3-T1	
GCA_003597385.1	ensamblado_publico	PRJNA489088	SAMN09951315	Bolivia	Cochabamba	2015	2015-09	Catheter	clinical	Homo sapiens	Hospital Materno-Infantil		242	4116272	991	1518	KL9	OCL5	si	blaOXA-23	r3-T1	
GCA_003697885.1	ensamblado_publico	PRJNA497216	SAMN10251004	Brasil	Porto Alegre	2013	2013	tracheal aspirate	clinical	Homo sapiens	Department of Microbiology, Clinical Pathology Laboratory, Sao Lucas Hospital		67	3846235	108	-	KL155	OCL1	no	ninguna	ninguno	
GCA_003812485.1	ensamblado_publico	PRJNA505170	SAMN10411605	Brasil	Salvador	2008	2008	cerebrospinal fluid	clinical	Homo sapiens	MRSN		4	4250823	79	-	KL49	OCL10	si	blaOXA-23	r3-T1,r3-T14,r3-T22,r3-T24	
GCA_004282835.1	ensamblado_publico	PRJNA497429	SAMN10341989	Brasil	Roraima	2016	2016-10-16	respiratory tract	clinical	Homo sapiens	Hospital Geral de Roraima Rubens de Souza Bento		91	3934686	78	-	KL3	OCL1	si	blaOXA-72	ninguno	no_evaluable
GCA_004282845.1	ensamblado_publico	PRJNA497429	SAMN10342509	Brasil	Roraima	2016	2016	respiratory tract	clinical	Homo sapiens	Hospital Geral de Roraima Rubens de Souza Bento		104	3955162	78	-	KL3	OCL1	si	blaOXA-72	ninguno	no_evaluable
GCA_004347305.1	ensamblado_publico	PRJNA516770	SAMN10797507	Brasil	Sao Paulo	2017	2017	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		57	3834411	1	-	KL18	OCL1	si	blaOXA-23	r3-T1,r3-T14	r3-T1,r3-T14
GCA_004347325.1	ensamblado_publico	PRJNA516770	SAMN10797503	Brasil	Sao Paulo	2017	2017	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		122	3984489	79	-	KL49	OCL10	no	ninguna	r3-T1,r3-T14	r3-T1,r3-T14
GCA_004359905.1	ensamblado_publico	PRJNA516770	SAMN10797505	Brasil	Sao Paulo	2017	2017	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		107	4017885	79	-	KL210	OCL10	si	blaOXA-72	r3-T1,r3-T14	r3-T1,r3-T14
GCA_006493735.1	ensamblado_publico	PRJNA545079	SAMN12087690	Peru		2013	2013	respiratory	clinical	Homo sapiens	MRSN (WRAIR)		128	3931403	79	-	KL4	OCL10	no	ninguna	r3-T1,r3-T18	
GCA_006493975.1	ensamblado_publico	PRJNA545079	SAMN12087691	Peru		2013	2013	blood	clinical	Homo sapiens	MRSN (WRAIR)		239	4052536	193	1110	KL52	OCL6	si	blaIMP-16	r3-T7	
GCA_006494085.1	ensamblado_publico	PRJNA545079	SAMN12087689	Peru		2012	2012	respiratory	clinical	Homo sapiens	MRSN (WRAIR)		73	3880445	1126	1988	KL3	OCL2	no	ninguna	r3-T3,r3-T5,r3-T57	
GCA_006494575.1	ensamblado_publico	PRJNA545079	SAMN12087688	Peru		2012	2012	wound	clinical	Homo sapiens	MRSN (WRAIR)		130	3799027	106	-	KL157	OCL6	no	ninguna	r3-T7,r3-T94	
GCA_006843645.1	ensamblado_publico	PRJNA487603	SAMN09906510	Argentina	Buenos Aires, San Andres, Zip B1604bsb	2016	2016	urine	clinical	Homo sapiens	Laura Alcaraz		6	4136114	25	490	KL149	OCL5	si	blaOXA-23	r3-T3	
GCA_008180145.1	ensamblado_publico	PRJNA516770	SAMN12635204	Brasil	Sao Paulo	2016	2016	tracheal aspirate	clinical	Homo sapiens	Instituto Adolfo Lutz		106	4075624	730	-	KL22	OCL10	si	blaOXA-23	r3-T1,r3-T13	
GCA_008477565.1	ensamblado_publico	PRJNA398382	SAMN08028494	Argentina	Rosario	1997	1997	blood	clinical	Homo sapiens	Hospital de emergencias Clemente Alvarez		99	3943341	15	104	KL77	OCL7	no	ninguna	r3-T3	
GCA_009754965.1	ensamblado_publico	PRJNA592452	SAMN13427461	Brasil		2011	2011	tracheal secretion	clinical	Homo sapiens	Hospital Universitario de Londrina		937	4505354	1	-	KL149	OCL10	si	blaOXA-23	r3-T1,r3-T13	
GCA_009754985.1	ensamblado_publico	PRJNA592456	SAMN13427462	Brasil		1996	1996	tracheal secretion	clinical	Homo sapiens	Hospital Universitario de Londrina		100	3985978	374	-	KL9	OCL2	no	ninguna	r3-T1,r3-T16,rP-T1	
GCA_009828675.1	ensamblado_publico	PRJNA596391	SAMN13622371	Brasil		2016	2016	rectal swab	clinical	Homo sapiens			73	4000651	162	235	KL19	OCL1	si	blaOXA-23	r3-T13	
GCA_009829525.1	ensamblado_publico	PRJNA596391	SAMN13622396	Brasil		2016	2016	urine	clinical	Homo sapiens			104	3971862	79	-	KL9	OCL10	si	blaOXA-23	ninguno	
GCA_009829535.1	ensamblado_publico	PRJNA596391	SAMN13622372	Brasil		2016	2016	peritoneal fluid	clinical	Homo sapiens			98	3972870	79	-	KL210	OCL10	si	blaOXA-72	r3-T1,r3-T14	r3-T1,r3-T14
GCA_009829545.1	ensamblado_publico	PRJNA596391	SAMN13622373	Brasil		2016	2016	blood	clinical	Homo sapiens			53	3803354	1	-	KL18	OCL1	si	blaOXA-23,blaOXA-72	r3-T1	r3-T1
GCA_009829555.1	ensamblado_publico	PRJNA596391	SAMN13622395	Brasil		2016	2016	tracheal secretion	clinical	Homo sapiens			71	4139345	1448	229	KL14	OCL17	si	blaOXA-23	r3-T1,r3-T67	
GCA_009829595.1	ensamblado_publico	PRJNA596391	SAMN13622394	Brasil		2016	2016	tracheal secretion	clinical	Homo sapiens			87	4160491	25	229	KL139	OCL6	si	blaOXA-23	ninguno	
GCA_009829755.1	ensamblado_publico	PRJNA398382	SAMN07573381	Argentina	Rosario	1999	1999	wound	clinical	Homo sapiens	Hospital de emergencias Clemente Alvarez		99	3900931	15	692	KL81	OCL7	no	ninguna	ninguno	
GCA_009898245.1	ensamblado_publico	PRJNA550404	SAMN12127415	Brasil	Sao Paulo	2016	2016	bronchoalveolar wash	clinical	Homo sapiens	Instituto Adolfo Lutz		89	3979303	15	2141	KL81	OCL7	si	blaOXA-23	r3-T13,r3-T14,rP-T1	
GCA_012276735.1	ensamblado_publico	PRJNA497429	SAMN14549413	Brasil	Roraima	2017	2017-01-03	catheter tip	clinical	Homo sapiens	Rubens de Souza		77	3940836	1	-	KL17	OCL1	si	blaOXA-23	r3-T1	
GCA_012276745.1	ensamblado_publico	PRJNA497429	SAMN14549414	Brasil	Roraima	2017	2017-02-12	wound secretion	clinical	Homo sapiens	Rubens de Souza		79	3999993	79	758	KL9	OCL10	si	blaOXA-23	r3-T26,rP-T1	
GCA_012277115.1	ensamblado_publico	PRJNA497429	SAMN14549415	Brasil	Roraima	2016	2016-10-21	catheter tip	clinical	Homo sapiens	Rubens de Souza		83	4023743	79	758	KL9	OCL10	si	blaOXA-23	rP-T1	
GCA_012515875.1	ensamblado_publico	PRJNA609712	SAMN14258455	Brasil	Montes Claros	2016	2016	Rectal swab	clinical	Homo sapiens	Iolanda A. Braga		79	3738405	-	-	KL51	OCL1	no	ninguna	ninguno	
GCA_012524085.1	ensamblado_publico	PRJNA624091	SAMN14567389	Argentina	Buenos Aires	2011	2011-04	endotracheal	clinical	Homo sapiens	Hospital Interzonal de Agudos Eva Peron de San Martin		31	3710024	172	-	KL51	OCL1	no	ninguna	ninguno	
GCA_012524275.1	ensamblado_publico	PRJNA624111	SAMN14567704	Argentina	Buenos Aires	2011	2011-07	catheter	clinical	Homo sapiens	Salud Stambouliam		213	4175981	25	490	KL149	OCL5	si	blaOXA-23	r3-T14	
GCA_012781995.1	ensamblado_publico	PRJNA613847	SAMN14420901	Brasil	Sao Paulo	2017	2017	Catheter tip	clinical	Homo sapiens	Instituto Adolfo Lutz		106	4011108	15	2594	KL77	OCL7	si	blaOXA-23	r3-T14	
GCA_012955825.1	ensamblado_publico	PRJNA301792	SAMN14595344	Brasil	Sao Paulo	2018	2018	hand	clinical	Homo sapiens	hospital staff		368	3965245	15	236	KL81	OCL7	si	blaOXA-23	r3-T14	
GCA_012955845.1	ensamblado_publico	PRJNA301792	SAMN14595345	Brasil	Sao Paulo	2018	2018	hand	clinical	Homo sapiens	hospital staff		196	3996439	15	236	KL81	OCL7	si	blaOXA-23	r3-T14	
GCA_012956585.1	ensamblado_publico	PRJNA301792	SAMN14595343	Brasil	Sao Paulo	2018	2018	hand	clinical	Homo sapiens	hospital staff		231	3982981	15	236	KL81	OCL7	si	blaOXA-23	r3-T14	
GCA_013138415.1	ensamblado_publico	PRJNA580471	SAMN13160111	Brasil	Belo Horizonte	2016	2016-08-30	tracheal aspirate	clinical	Homo sapiens	HRTN		185	3945196	1	-	KL18	OCL1	si	blaOXA-23	r3-T1,r3-T15	
GCA_013138435.1	ensamblado_publico	PRJNA580473	SAMN13160208	Brasil	Belo Horizonte	2016	2016-08-26	urine	clinical	Homo sapiens	HRTN		98	3947240	1	-	KL18	OCL1	si	blaOXA-23	r3-T15,r3-T8,rP-T1	
GCA_013138475.1	ensamblado_publico	PRJNA580395	SAMN13157208	Brasil	Belo Horizonte	2016	2016-08-22	tracheal aspirate	clinical	Homo sapiens	HRTN		81	3946401	1	-	KL18	OCL1	si	blaOXA-23	r3-T1	
GCA_013184005.1	ensamblado_publico	PRJNA541269	SAMN11581142	Argentina	Buenos Aires	1995	1995	blood sample	clinical	Homo sapiens	Hospital Fernandez		40	3710255	172	-	KL51	OCL1	no	ninguna	ninguno	
GCA_015536845.1	ensamblado_publico	PRJNA613847	SAMN14911907	Brasil	Vitoria	2016	2016	urine	clinical	Homo sapiens	Instituto Adolfo Lutz		265	3990619	15	236	KL81	OCL7	si	blaOXA-23	r3-T13,r3-T14,r3-T3	
GCA_015536855.1	ensamblado_publico	PRJNA613847	SAMN14911906	Brasil	Sao Paulo	2016	2016	cerebrospinal fluid	clinical	Homo sapiens	Instituto Adolfo Lutz		128	3887598	15	2141	KL81	OCL7	si	blaOXA-23	r3-T13,r3-T14	
GCA_015536865.1	ensamblado_publico	PRJNA613847	SAMN14911905	Brasil	Sao Paulo	2016	2016	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		86	4195866	1448	229	KL14	OCL17	si	blaOXA-23	r3-T1,r3-T67	
GCA_015536875.1	ensamblado_publico	PRJNA613847	SAMN14911908	Brasil	Sao Paulo	2017	2017	urine	clinical	Homo sapiens	Instituto Adolfo Lutz		148	4083096	79	-	KL9	OCL10	si	blaOXA-23	r3-T1,rP-T1	
GCA_015536925.1	ensamblado_publico	PRJNA613847	SAMN14911902	Brasil	Botucatu	2012	2012	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		118	3972006	15	225	KL3	OCL7	si	blaOXA-23	r3-T13,r3-T14,r3-T3	
GCA_015536935.1	ensamblado_publico	PRJNA613847	SAMN14911904	Brasil	Sao Paulo	2016	2016	urine	clinical	Homo sapiens	Instituto Adolfo Lutz		171	4165872	79	-	KL9	OCL10	si	blaOXA-23	r3-T1,rP-T1	
GCA_015536955.1	ensamblado_publico	PRJNA613847	SAMN14911900	Brasil	Sao Paulo	2016	2016	urine	clinical	Homo sapiens	Instituto Adolfo Lutz		160	3998282	79	-	KL210	OCL10	si	blaOXA-72	r3-T1	r3-T1
GCA_015536965.1	ensamblado_publico	PRJNA613847	SAMN14911901	Brasil	Sao Paulo	2017	2017		clinical	Homo sapiens	Instituto Adolfo Lutz		116	4149490	730	227	KL22	OCL10	si	blaOXA-72	r3-T13,r3-T16,rP-T1	no_evaluable
GCA_015537035.1	ensamblado_publico	PRJNA613847	SAMN14911897	Brasil	Sao Paulo	2016	2016	Surgical wound	clinical	Homo sapiens	Instituto Adolfo Lutz		102	4196330	25	229	KL139	OCL10	si	blaOXA-23	r3-T1	
GCA_015537045.1	ensamblado_publico	PRJNA613847	SAMN14911896	Brasil	Sao Paulo	2016	2016	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		212	4119368	15	236	KL9	OCL7	si	blaOXA-23	r3-T14	
GCA_015537085.1	ensamblado_publico	PRJNA613847	SAMN14911898	Brasil	Sao Paulo	2018	2018	tracheal secretion	clinical	Homo sapiens	Instituto Adolfo Lutz		128	4392210	25	229	KL139	OCL10	si	blaOXA-23	r3-T1,r3-T16,rP-T1	
GCA_015537095.1	ensamblado_publico	PRJNA613847	SAMN14911895	Brasil	Sao Paulo	2016	2016	Eye discharge	clinical	Homo sapiens	Instituto Adolfo Lutz		215	4127615	79	-	KL49	OCL10	si	blaOXA-72	r3-T1,r3-T14	r3-T1,r3-T14
GCA_015537125.1	ensamblado_publico	PRJNA613847	SAMN14911894	Brasil	Sao Paulo	2016	2016	tracheal secretion	clinical	Homo sapiens	Instituto Adolfo Lutz		80	3929517	15	225	KL22	OCL7	si	blaOXA-23	r3-T1,r3-T13	
GCA_015537145.1	ensamblado_publico	PRJNA613847	SAMN14911890	Brasil	Campinas	2016	2016	urine	clinical	Homo sapiens	Instituto Adolfo Lutz		81	4171219	25	229	KL139	OCL10	si	blaOXA-23	r3-T1	
GCA_015537155.1	ensamblado_publico	PRJNA613847	SAMN14911893	Brasil	Presidente Prudente	2016	2016	tracheal secretion	clinical	Homo sapiens	Instituto Adolfo Lutz		136	4151380	79	-	KL9	OCL10	si	blaOXA-23	r3-T1,rP-T1	
GCA_015537165.1	ensamblado_publico	PRJNA613847	SAMN14911891	Brasil	Botucatu	2010	2010	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		186	4322499	-	236	KL9	OCL7	si	blaOXA-23	r3-T14,r3-T23,r3-T3,r3-T55	
GCA_015537175.1	ensamblado_publico	PRJNA613847	SAMN14911892	Brasil	Sao Paulo	2017	2017	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		413	4093867	79	-	KL49	OCL10	si	blaOXA-72	r3-T1,r3-T14	r3-T14
GCA_015537225.1	ensamblado_publico	PRJNA613847	SAMN14911889	Brasil	Recife	2016	2016	urine	clinical	Homo sapiens	Instituto Adolfo Lutz		98	3894522	1	-	KL18	OCL1	si	blaOXA-23	r3-T1,r3-T62	
GCA_015537245.1	ensamblado_publico	PRJNA613847	SAMN14911887	Brasil	Presidente Prudente	2016	2016	tracheal secretion	clinical	Homo sapiens	Instituto Adolfo Lutz		79	4322058	25	229	KL139	OCL10	si	blaOXA-23,blaOXA-72	r3-T1,r3-T14,r3-T9	r3-T1,r3-T14
GCA_015537255.1	ensamblado_publico	PRJNA613847	SAMN14911886	Brasil	Botucatu	2013	2013	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		830	4284935	15	225	KL22	OCL7	si	blaOXA-23	r3-T1,r3-T13	
GCA_015537275.1	ensamblado_publico	PRJNA613847	SAMN14911888	Brasil	Sao Paulo	2016	2016	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		164	4036999	79	233	KL49	OCL10	si	blaOXA-72	r3-T1,r3-T14	r3-T1,r3-T14
GCA_015537285.1	ensamblado_publico	PRJNA613847	SAMN14911885	Brasil	Sao Paulo	2017	2017	tracheal secretion	clinical	Homo sapiens	Instituto Adolfo Lutz		66	3856582	1	-	KL1	OCL1	si	blaOXA-23	r3-T1	
GCA_015537295.1	ensamblado_publico	PRJNA613847	SAMN14911884	Brasil	Sao Paulo	2016	2016	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		170	4109155	79	-	KL9	OCL10	si	blaOXA-23	r3-T1,rP-T1	
GCA_015537345.1	ensamblado_publico	PRJNA613847	SAMN14911883	Brasil	Aracaju	2016	2016	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		102	3953693	15	225	KL22	OCL7	no	ninguna	r3-T1,r3-T14,r3-T3	
GCA_015537365.1	ensamblado_publico	PRJNA613847	SAMN14911881	Brasil	Sao Paulo	2016	2016	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		113	4000325	79	-	KL9	OCL10	si	blaOXA-23	r3-T1,rP-T1	no_evaluable
GCA_015537385.1	ensamblado_publico	PRJNA613847	SAMN14911882	Brasil	Assis	2016	2016	tracheal secretion	clinical	Homo sapiens	Instituto Adolfo Lutz		103	4008374	1447	225	KL22	OCL7	si	blaOXA-23	r3-T1,r3-T13	
GCA_015537405.1	ensamblado_publico	PRJNA613847	SAMN14911880	Brasil	Presidente Prudente	2016	2016	tracheal secretion	clinical	Homo sapiens	Instituto Adolfo Lutz		119	4331817	25	229	KL139	OCL10	si	blaOXA-23,blaOXA-72	r3-T1,r3-T14,r3-T9	r3-T14
GCA_015537415.1	ensamblado_publico	PRJNA613847	SAMN14911879	Brasil	Botucatu	2012	2012	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		108	3970265	15	236	KL9	OCL7	si	blaOXA-23	r3-T13,r3-T14	
GCA_015537445.1	ensamblado_publico	PRJNA613847	SAMN14911878	Brasil	Sao Paulo	2016	2016	tracheal secretion	clinical	Homo sapiens	Instituto Adolfo Lutz		90	3890356	1	-	KL1	OCL1	si	blaOXA-23	ninguno	
GCA_015537465.1	ensamblado_publico	PRJNA613847	SAMN14911877	Brasil	Araguari	2016	2016	tracheal secretion	clinical	Homo sapiens	Instituto Adolfo Lutz		168	4090616	79	-	KL49	OCL10	si	blaOXA-23	r3-T1	
GCA_015537485.1	ensamblado_publico	PRJNA613847	SAMN14911876	Brasil	Sao Paulo	2016	2016	Catheter tip	clinical	Homo sapiens	Instituto Adolfo Lutz		72	4185767	49	128	KL11	OCL8	no	ninguna	r3-T3	
GCA_015537505.1	ensamblado_publico	PRJNA613847	SAMN14911875	Brasil	Sao Paulo	2016	2016	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		89	3858991	1	-	KL18	OCL1	si	blaOXA-23	r3-T1	
GCA_015537525.1	ensamblado_publico	PRJNA613847	SAMN14911874	Brasil	Sao Paulo	2016	2016	Biological secretion	clinical	Homo sapiens	Instituto Adolfo Lutz		81	4088339	25	229	KL139	OCL10	si	blaOXA-23	r3-T1	
GCA_015537535.1	ensamblado_publico	PRJNA613847	SAMN14911873	Brasil	Presidente Prudente	2016	2016	Pressure ulcer	clinical	Homo sapiens	Instituto Adolfo Lutz		116	4004505	15	225	KL22	OCL7	si	blaOXA-23	r3-T1,r3-T13,r3-T3	
GCA_015537565.1	ensamblado_publico	PRJNA613847	SAMN14911872	Brasil	Botucatu	2013	2013	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		114	4173474	25	229	KL139	OCL10	si	blaOXA-23	r3-T1	
GCA_015537575.1	ensamblado_publico	PRJNA613847	SAMN14911871	Brasil	Tupa	2017	2017	Catheter tip	clinical	Homo sapiens	Instituto Adolfo Lutz		113	3939174	1	-	KL18	OCL1	si	blaOXA-23	r3-T1,r3-T3	
GCA_015537605.1	ensamblado_publico	PRJNA613847	SAMN14911870	Brasil	Sao Paulo	2016	2016	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		183	4144652	79	-	KL81	OCL10	si	blaOXA-72	r3-T1,rP-T1	r3-T1
GCA_015537615.1	ensamblado_publico	PRJNA613847	SAMN14911869	Brasil	Sao Paulo	2016	2016	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		154	4039217	79	-	KL49	OCL10	si	blaOXA-72	r3-T1,r3-T14	r3-T1
GCA_015537635.1	ensamblado_publico	PRJNA613847	SAMN14911868	Brasil	Presidente Prudente	2016	2016	tracheal secretion	clinical	Homo sapiens	Instituto Adolfo Lutz		109	3819688	79	1615	KL167	OCL10	si	blaOXA-23	r3-T1	
GCA_015537665.1	ensamblado_publico	PRJNA613847	SAMN14911867	Brasil	Presidente Prudente	2016	2016	tracheal secretion	clinical	Homo sapiens	Instituto Adolfo Lutz		116	4179649	730	-	KL22	OCL10	si	blaOXA-23	r3-T1,r3-T13,rP-T1	
GCA_015537675.1	ensamblado_publico	PRJNA613847	SAMN14911866	Brasil	Sao Paulo	2016	2016	blood	clinical	Homo sapiens	Instituto Adolfo Lutz		84	3846310	1	-	KL18	OCL1	si	blaOXA-23	r3-T1,r3-T33	
GCA_015537705.1	ensamblado_publico	PRJNA613847	SAMN14911865	Brasil	Presidente Prudente	2016	2016	tracheal secretion	clinical	Homo sapiens	Instituto Adolfo Lutz		132	4236613	79	-	KL9	OCL10	si	blaOXA-23	r3-T1,rP-T1	
GCA_015537725.1	ensamblado_publico	PRJNA613847	SAMN14911864	Brasil	Presidente Prudente	2016	2016	Surveillance swab	clinical	Homo sapiens	Instituto Adolfo Lutz		103	4034691	15	225	KL22	OCL7	si	blaOXA-23	r3-T1,r3-T13,r3-T3	
GCA_015537745.1	ensamblado_publico	PRJNA613847	SAMN14911862	Brasil	Presidente Prudente	2016	2016	urine	clinical	Homo sapiens	Instituto Adolfo Lutz		112	4003076	15	225	KL22	OCL7	si	blaOXA-23	r3-T1,r3-T13,r3-T3	
