accesion	pais	st_pasteur	anio	carbapenemasa	genes_carb	st_oxford	kl	ocl	rep_apt
GCA_016056125.1	Brasil	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_016056145.1	Brasil	79	2019	si	blaKPC,blaOXA-23	-	KL49	OCL10	r3-T1
GCA_016416045.1	Brasil	1	2020	si	blaOXA-23	-	KL17	OCL1	r3-T1,r3-T15
GCA_016484945.1	Brasil	79	2015	si	blaOXA-72	-	KL49	OCL10	r3-T1,r3-T14
GCA_016484955.1	Brasil	79	2015	si	blaOXA-72	-	KL49	OCL10	r3-T1,r3-T14
GCA_016484985.1	Brasil	79	2015	si	blaOXA-23	-	KL3	OCL10	r3-T1
GCA_016485005.1	Brasil	25	2015	si	blaOXA-23,blaOXA-72	690	KL22	OCL10	r3-T1,r3-T14
GCA_016485025.1	Brasil	79	2015	si	blaOXA-72	-	KL9	OCL10	r3-T1
GCA_016485045.1	Brasil	79	2014	si	blaOXA-23	-	KL3	OCL10	r3-T1
GCA_016485085.1	Brasil	25	2017	si	blaOXA-23	229	KL139	OCL10	r3-T1
GCA_016485105.1	Brasil	15	2017	si	blaOXA-23	236	KL81	OCL7	r3-T14
GCA_016485125.1	Brasil	79	2017	si	blaOXA-72	-	KL49	OCL10	r3-T1
GCA_016485145.1	Brasil	730	2017	si	blaOXA-72	-	KL22	OCL10	r3-T13
GCA_016485165.1	Brasil	25	2017	si	blaOXA-23,blaOXA-72	690	KL22	OCL10	r3-T1,r3-T14
GCA_016485185.1	Brasil	79	2017	si	blaOXA-72	-	KL49	OCL10	r3-T1,r3-T14
GCA_016485205.1	Brasil	79	2017	si	blaOXA-23	-	KL9	OCL10	r3-T1
GCA_016485225.1	Brasil	79	2014	si	blaOXA-23	-	KL3	OCL10	r3-T1
GCA_016485245.1	Brasil	15	2017	si	blaOXA-23	236	KL81	OCL7	r3-T13,r3-T14,r3-T3
GCA_016485265.1	Brasil	1	2012	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_016485285.1	Brasil	79	2012	si	blaOXA-23	-	KL9	OCL10	r3-T1
GCA_016485305.1	Brasil	79	2017	si	blaOXA-23	-	KL9	OCL10	r3-T1
GCA_016485325.1	Brasil	15	2017	si	blaOXA-23	2141	KL81	OCL7	r3-T13,r3-T14
GCA_016485345.1	Brasil	79	2014	si	blaOXA-23	-	KL3	OCL10	r3-T1
GCA_016485365.1	Brasil	79	2014	si	blaOXA-23	227	KL3	OCL10	r3-T1
GCA_016485725.1	Venezuela	25	2014	si	blaOXA-23	-	KL33	OCL5	r3-T18
GCA_016485745.1	Chile	15	2014	si	blaOXA-58	236	KL9	OCL7	r3-T14,r3-T18
GCA_016485965.1	Venezuela	25	2014	si	blaOXA-23	-	KL33	OCL5	ninguno
GCA_016487265.1	Venezuela	412	2014	si	blaOXA-58	2095	KL77	OCL6	r3-T10,r3-T5
GCA_016487725.1	Chile	318	2014	si	blaOXA-58	225	KL22	OCL3	r3-T14
GCA_016609805.1	Chile	1	2014	no	ninguna	-	KL1	OCL1	r3-T14
GCA_016609885.1	Venezuela	25	2014	si	blaOXA-23	-	KL33	OCL5	ninguno
GCA_017909475.1	Brasil	1	2015	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_017909485.1	Brasil	1083	2011	si	blaOXA-23	1620	KL3	OCL7	r3-T13,r3-T14,r3-T3
GCA_017909495.1	Brasil	1083	2011	si	blaOXA-23	1620	KL3	OCL7	r3-T13,r3-T14,r3-T3
GCA_017960395.1	Brasil	1	2015	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_018156045.1	Chile	318	2017	si	blaOXA-58	225	KL22	OCL3	r3-T14
GCA_018156055.1	Chile	109	2008	si	blaOXA-58	-	KL49	OCL3	r3-T14,r3-T18,r3-T28
GCA_018156065.1	Chile	876	2019	si	blaOXA-23	-	KL65	OCL1	r3-T14,r3-T3,rP-T1
GCA_018156145.1	Chile	15	2019	no	ninguna	225	KL22	OCL7	r3-T14
GCA_018156665.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T15,rP-T1
GCA_018156705.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T1,r3-T13
GCA_018156725.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T1,r3-T13,r3-T15
GCA_018156745.1	Brasil	79	2016	si	blaOXA-72	-	KL49	OCL10	r3-T1,r3-T14
GCA_020657695.1	Brasil	79	2014	si	blaOXA-23	-	KL33	OCL10	r3-T1,r3-T12,r3-T2,rP-T1
GCA_021402995.1	Brasil	2	2020	si	blaOXA-23	-	KL7	OCL1	r3-T1,rP-T1
GCA_023060185.1	Brasil	15	2020	si	blaOXA-23	236	KL9	OCL7	r3-T13,r3-T14,r3-T3
GCA_023060375.1	Brasil	78	2019	si	blaOXA-72	1961	KL3	OCL1	ninguno
GCA_023060655.1	Brasil	78	2019	si	blaOXA-72	1961	KL3	OCL1	ninguno
GCA_023061035.1	Brasil	79	2020	si	blaOXA-72	-	KL33	OCL10	r3-T1,r3-T14
GCA_023572255.1	Brasil	584	2020	si	blaOXA-23	1208	KL24	OCL7	r3-T1,r3-T94
GCA_023572275.1	Brasil	15	2020	si	blaOXA-23	692	KL81	OCL7	r3-T13
GCA_023572305.1	Brasil	25	2020	si	blaOXA-23	690	KL22	OCL10	r3-T1,r3-T16
GCA_023572445.1	Brasil	79	2020	si	blaOXA-23	-	KL22	OCL10	r3-T1
GCA_023572625.1	Brasil	160	2019	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_024138435.1	Chile	162	2011	si	blaOXA-23	235	KL19	OCL1	r3-T13,rP-T1
GCA_024139015.1	Chile	109	2010	si	blaOXA-58	1637	KL9	OCL3	r3-T14,r3-T18,r3-T28,r3-T5
GCA_024139035.1	Chile	79	2011	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_024139055.1	Chile	318	2010	si	blaOXA-58	225	KL22	OCL7	r3-T14
GCA_024139075.1	Chile	15	2011	si	blaOXA-23	225	KL22	OCL7	r3-T13,r3-T14,rP-T1
GCA_024139095.1	Chile	1	2011	no	ninguna	-	KL1	OCL1	r3-T14
GCA_024151465.1	Chile	241	2013	no	ninguna	613	KL11	OCL8	ninguno
GCA_024151485.1	Chile	162	2010	si	blaOXA-23	235	KL19	OCL1	r3-T13,rP-T1
GCA_024151505.1	Chile	162	2010	si	blaOXA-23	235	KL19	OCL1	r3-T13,rP-T1
GCA_024151525.1	Chile	162	2010	si	blaOXA-23	235	KL19	OCL1	r3-T13,r3-T18,rP-T1
GCA_024151535.1	Chile	162	2010	si	blaOXA-23	235	KL19	OCL1	r3-T13,rP-T1
GCA_024151565.1	Chile	109	2012	si	blaOXA-58	1637	KL9	OCL3	r3-T14,r3-T5
GCA_024151585.1	Chile	109	2012	si	blaOXA-58	1637	KL9	OCL3	r3-T14,r3-T18,r3-T28,r3-T5
GCA_024151605.1	Chile	109	2012	si	blaOXA-58	1637	KL9	OCL3	r3-T14,r3-T18,r3-T28,r3-T5
GCA_024151615.1	Chile	109	2012	si	blaOXA-58	1637	KL9	OCL3	r3-T14,r3-T18,r3-T28,r3-T5
GCA_024151645.1	Chile	109	2012	si	blaOXA-58	1637	KL9	OCL3	r3-T14,r3-T18,r3-T28,r3-T5
GCA_024151665.1	Chile	109	2011	si	blaOXA-58	1637	KL9	OCL3	r3-T14,r3-T18,r3-T28
GCA_024151685.1	Chile	109	2010	si	blaOXA-58	1637	KL9	OCL3	r3-T14,r3-T18
GCA_024151695.1	Chile	109	2011	si	blaOXA-58	1637	KL9	OCL3	r3-T14,r3-T18,r3-T28
GCA_024151725.1	Chile	79	2012	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_024151745.1	Chile	79	2012	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_024151765.1	Chile	318	2011	si	blaOXA-23	225	KL22	OCL7	r3-T14,rP-T1
GCA_024151775.1	Chile	79	2012	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_024151795.1	Chile	79	2012	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_024151825.1	Chile	109	2010	si	blaOXA-58	1637	KL9	OCL3	r3-T14,r3-T18,r3-T28
GCA_024151845.1	Chile	15	2013	no	ninguna	225	KL22	OCL7	r3-T13,r3-T14
GCA_024151865.1	Chile	15	2012	no	ninguna	225	KL22	OCL7	r3-T13,r3-T14
GCA_024151885.1	Chile	15	2010	no	ninguna	225	KL22	OCL7	r3-T13,r3-T14
GCA_024151895.1	Chile	15	2011	no	ninguna	225	KL22	OCL7	r3-T13
GCA_024151905.1	Chile	15	2010	no	ninguna	236	KL9	OCL7	r3-T14
GCA_024151945.1	Chile	15	2010	si	blaOXA-58	236	KL9	OCL7	r3-T14,r3-T18
GCA_024151965.1	Chile	1	2011	no	ninguna	-	KL1	OCL1	r3-T14
GCA_024151985.1	Chile	1	2011	no	ninguna	-	KL1	OCL1	r3-T14
GCA_024152085.1	Chile	15	2010	no	ninguna	225	KL22	OCL7	r3-T13,r3-T14
GCA_024271825.1	Chile	162	2012	si	blaOXA-23	235	KL19	OCL1	r3-T13,rP-T1
GCA_024505645.2	Brasil	-	2021	si	blaNDM-1,blaOXA-58	-	KL6	OCL2	r3-T15
GCA_024649355.1	Argentina	2	2021	si	blaNDM-1	-	KL2	OCL5	ninguno
GCA_024649375.1	Argentina	2	2016	no	ninguna	-	KL2	OCL5	ninguno
GCA_025950435.1	Brasil	464	2021	si	blaNDM-1,blaOXA-58	1752	KL121	OCL6	r3-T13,r3-T3
GCA_025950485.1	Brasil	-	2021	si	blaNDM-1,blaOXA-58	-	KL6	OCL2	r3-T15,r3-T61
GCA_025971765.1	Brasil	464	2021	si	blaNDM,blaOXA-58	878	KL210	OCL6	r3-T13,r3-T3
GCA_025971805.1	Brasil	575	2021	si	blaNDM-1,blaOXA-58	-	KL64	OCL2	r3-T15,r3-T37,r3-T5,r3-T7,rP-T5
GCA_025971935.1	Brasil	739	2020	si	blaNDM	-	KL225	OCL6	r3-T15,r3-T168,r3-T60
GCA_026239565.1	Brasil	10	2021	si	blaNDM-1,blaOXA-58	-	KL77	OCL2	r3-T5,r3-T7
GCA_026300595.1	Paraguay	1	2020	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026301315.1	Paraguay	15	2020	si	blaOXA-23	1619	KL167	OCL7	r3-T13,r3-T14
GCA_026302075.1	Paraguay	15	2020	si	blaOXA-23	1619	KL167	OCL7	r3-T13,r3-T14,r3-T3
GCA_026311855.1	Ecuador	2	2020	si	blaOXA-72	-	KL2	OCL1	r3-T18,r3-T3
GCA_026311875.1	Ecuador	2	2020	si	blaOXA-72	-	KL2	OCL1	r3-T18,r3-T3
GCA_026318965.1	Paraguay	1	2020	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026340685.1	Ecuador	2	2020	si	blaOXA-72	-	KL2	OCL1	r3-T18,r3-T3
GCA_026340785.1	Ecuador	2	2020	si	blaOXA-72	-	KL2	OCL1	r3-T18,r3-T3
GCA_026340865.1	Ecuador	79	2020	no	ninguna	-	KL9	OCL10	r3-T13
GCA_026340935.1	Ecuador	2	2020	si	blaOXA-72	-	KL2	OCL1	r3-T18,r3-T3
GCA_026358375.1	Paraguay	25	2020	si	blaOXA-23	490	KL9	OCL5	r1-T22,r3-T14,r3-T3
GCA_026358395.1	Paraguay	1	2020	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026358415.1	Paraguay	25	2020	si	blaNDM-1	229	KL14	OCL6	r1-T2
GCA_026358455.1	Paraguay	512	2020	no	ninguna	952	KL72	OCL1	ninguno
GCA_026358475.1	Paraguay	1	2020	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026358495.1	Paraguay	79	2020	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_026358515.1	Paraguay	1	2020	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026358555.1	Paraguay	1	2020	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026358575.1	Paraguay	79	2020	si	blaOXA-23	758	KL9	OCL10	r1-T4,r3-T26,r3-T3
GCA_026358595.1	Paraguay	1	2020	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026358675.1	Paraguay	1	2020	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026358715.1	Paraguay	1	2020	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_026358855.1	Paraguay	25	2020	si	blaNDM-1	229	KL14	OCL6	r1-T2
GCA_026358875.1	Paraguay	2	2020	si	blaOXA-23	-	KL2	OCL5	r3-T3
GCA_026358895.1	Paraguay	25	2020	si	blaNDM-1	229	KL14	OCL6	r1-T2
GCA_026554895.1	Colombia	79	2019	si	blaOXA-23	758	KL9	OCL10	r3-T26,r3-T85,rP-T1
GCA_026554915.1	Colombia	79	2019	si	blaOXA-23	2128	KL32	OCL13	r3-T26,r3-T3,r3-T85
GCA_026555015.1	Colombia	25	2019	si	blaOXA-23	-	KL196	OCL5	ninguno
GCA_026555055.1	Colombia	78	2019	si	blaOXA-23	-	KL3	OCL1	r1-T2
GCA_026555075.1	Colombia	1635	2019	si	blaOXA-72	-	KL20	OCL4	r3-T13,r3-T8,r3-T97
GCA_026555095.1	Chile	318	2019	no	ninguna	225	KL22	OCL3	r3-T14
GCA_026555115.1	Chile	318	2018	no	ninguna	225	KL22	OCL3	r3-T14
GCA_026555155.1	Chile	318	2019	si	blaOXA-58	225	KL22	OCL7	r3-T14,r3-T34
GCA_026555195.1	Chile	318	2019	si	blaOXA-58	225	KL22	OCL7	r3-T14,r3-T34
GCA_026555235.1	Argentina	2	2019	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_026555275.1	Argentina	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026555295.1	Argentina	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026555315.1	Argentina	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026561215.1	Argentina	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026561235.1	Argentina	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026561255.1	Argentina	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026561275.1	Argentina	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_026561295.1	Argentina	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026561315.1	Argentina	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026561335.1	Argentina	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_026561355.1	Argentina	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_026561375.1	Argentina	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_026561415.1	Argentina	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_026561435.1	Argentina	2	2019	si	blaOXA-23	-	KL2	OCL21	ninguno
GCA_026561455.1	Argentina	25	2019	si	blaOXA-23	-	KL77	OCL5	r3-T14
GCA_026561475.1	Argentina	25	2019	si	blaOXA-23	490	KL9	OCL5	r3-T14
GCA_026561495.1	Argentina	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_026561515.1	Argentina	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_026568275.1	Argentina	25	2019	si	blaOXA-23	490	KL9	OCL5	r3-T14
GCA_026568295.1	Argentina	1	2019	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_026568315.1	Argentina	25	2019	si	blaOXA-23	-	KL37	OCL5	r3-T14
GCA_026568355.1	Argentina	25	2019	si	blaOXA-23	-	KL37	OCL13	r3-T14
GCA_026568375.1	Colombia	79	2019	si	blaOXA-23	2128	KL32	OCL5	r3-T26,r3-T3,r3-T85
GCA_026568385.1	Argentina	25	2019	si	blaOXA-23	490	KL9	OCL13	r3-T14
GCA_026568415.1	Argentina	25	2019	si	blaOXA-23	691	KL23	OCL5	r3-T14
GCA_026568455.1	Colombia	79	2019	si	blaOXA-23	2128	KL32	OCL13	r3-T26,r3-T3,r3-T85
GCA_026568475.1	Colombia	25	2019	si	blaOXA-23	-	KL3	OCL5	ninguno
GCA_026568495.1	Colombia	25	2019	si	blaOXA-23	-	KL3	OCL13	ninguno
GCA_026568515.1	Colombia	25	2019	si	blaOXA-23	-	KL3	OCL5	ninguno
GCA_026568535.1	Colombia	25	2019	si	blaOXA-23	-	KL3	OCL5	ninguno
GCA_026568575.1	Colombia	25	2019	si	blaOXA-23	-	KL3	OCL13	ninguno
GCA_026568595.1	Colombia	25	2019	si	blaOXA-23	-	KL3	OCL13	ninguno
GCA_028402465.1	Brasil	79	2013	si	blaOXA-23	-	KL22	OCL10	r3-T1
GCA_028402505.1	Brasil	-	2013	no	ninguna	3041	KL203	OCL4	ninguno
GCA_028435895.1	Brasil	113	2014	no	ninguna	1337	KL10	OCL7	r3-T1,rP-T1
GCA_028435925.1	Brasil	15	2014	no	ninguna	225	KL22	OCL7	r3-T13,r3-T14,r3-T3,r3-T94
GCA_028435965.1	Brasil	15	2014	no	ninguna	225	KL22	OCL7	r3-T14,r3-T3,r3-T94
GCA_028435975.1	Brasil	1	2006	si	blaOXA-23	-	KL18	OCL1	r3-T1,r3-T62
GCA_028435995.1	Brasil	113	2014	no	ninguna	1337	KL10	OCL7	r3-T1,rP-T1
GCA_028436005.1	Brasil	881	2014	no	ninguna	-	KL15	OCL1	r3-T14
GCA_028439845.1	Brasil	79	2014	no	ninguna	-	KL13	OCL10	ninguno
GCA_028439855.1	Brasil	881	2014	no	ninguna	-	KL15	OCL1	r3-T1,r3-T14
GCA_028439875.1	Brasil	25	2014	no	ninguna	1341	KL37	OCL6	r3-T1,r3-T14,r3-T3
GCA_028439905.1	Brasil	113	2014	no	ninguna	1338	KL13	OCL7	r3-T1,r3-T14,rP-T1
GCA_028439915.1	Brasil	15	2014	no	ninguna	225	KL22	OCL7	r3-T1,r3-T14,r3-T3
GCA_028439945.1	Brasil	-	2014	no	ninguna	1338	KL13	OCL7	r3-T1,r3-T14,rP-T1
GCA_028439955.1	Brasil	15	2014	no	ninguna	225	KL22	OCL7	r3-T13,r3-T14,r3-T3
GCA_028439975.1	Brasil	113	2014	no	ninguna	1336	KL81	OCL7	r3-T1,r3-T14,rP-T1
GCA_028440005.1	Brasil	113	2014	no	ninguna	1338	KL13	OCL7	r3-T1,r3-T14,rP-T1
GCA_028440015.1	Brasil	79	2010	si	blaOXA-72	-	KL210	OCL10	r3-T1,r3-T14
GCA_028440045.1	Brasil	79	2010	no	ninguna	-	KL52	OCL10	r3-T1,r3-T94
GCA_028440065.1	Brasil	113	2010	no	ninguna	1338	KL27	OCL7	r3-T1,rP-T1
GCA_028440075.1	Brasil	79	2010	si	blaOXA-72	-	KL210	OCL10	r3-T1,r3-T14
GCA_028440105.1	Brasil	79	2010	si	blaOXA-72	-	KL210	OCL10	r3-T1,r3-T14
GCA_028440125.1	Brasil	79	2010	si	blaOXA-72	-	KL22	OCL10	r3-T1,r3-T14
GCA_028440145.1	Brasil	15	2010	no	ninguna	225	KL22	OCL7	r3-T1,r3-T13,r3-T14,r3-T3
GCA_028440165.1	Brasil	113	2010	si	blaOXA-23	1338	KL13	OCL7	r3-T1,r3-T14,rP-T1
GCA_028440185.1	Brasil	79	2012	no	ninguna	-	KL52	OCL10	r3-T1
GCA_028440195.1	Brasil	113	2014	no	ninguna	1338	KL13	OCL7	r3-T1,r3-T14,rP-T1
GCA_028440225.1	Brasil	79	2014	si	blaOXA-72	-	KL22	OCL10	r3-T1
GCA_028440245.1	Brasil	1	2014	si	blaOXA-23	-	KL18	OCL1	r3-T1,r3-T62
GCA_028440255.1	Brasil	79	2010	si	blaOXA-72	-	KL210	OCL10	r3-T1,r3-T14
GCA_028440285.1	Brasil	79	2012	no	ninguna	-	KL52	OCL10	r3-T1,r3-T94
GCA_028440295.1	Brasil	79	2012	no	ninguna	-	KL52	OCL10	r3-T1,r3-T94
GCA_028440325.1	Brasil	1	2014	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_028440335.1	Brasil	79	2014	no	ninguna	-	KL49	OCL10	r3-T1
GCA_028440365.1	Brasil	15	2014	no	ninguna	225	KL22	OCL7	r3-T1,r3-T13
GCA_028440385.1	Brasil	15	2012	no	ninguna	236	KL9	OCL7	r3-T1,r3-T14,r3-T3,r3-T94
GCA_028440395.1	Brasil	1	2014	si	blaOXA-23	-	KL18	OCL1	r3-T1,r3-T62
GCA_028440415.1	Brasil	1	2012	si	blaOXA-23	-	KL18	OCL1	r3-T1,r3-T62
GCA_028440435.1	Brasil	15	2012	no	ninguna	225	KL22	OCL7	r3-T1,r3-T13,r3-T14,r3-T3
GCA_028440485.1	Brasil	15	2012	no	ninguna	225	KL22	OCL7	r3-T1,r3-T13,r3-T14
GCA_028440505.1	Brasil	113	2012	no	ninguna	1336	KL152	OCL7	r3-T1,r3-T14,r3-T62,rP-T1
GCA_028440515.1	Brasil	113	2012	no	ninguna	1338	KL27	OCL7	r3-T1,r3-T14,rP-T1
GCA_028440525.1	Brasil	79	2012	no	ninguna	-	KL13	OCL10	r3-T1
GCA_028440555.1	Brasil	113	2012	no	ninguna	1337	KL10	OCL7	r3-T1,rP-T1
GCA_028440585.1	Brasil	15	2012	no	ninguna	236	KL9	OCL7	r3-T1,r3-T14,r3-T3,r3-T94
GCA_028440615.1	Brasil	79	2012	no	ninguna	-	KL9	OCL10	r3-T1,r3-T14
GCA_028440635.1	Brasil	113	2012	no	ninguna	1336	KL152	OCL7	r3-T14,rP-T1
GCA_028440705.1	Brasil	113	2014	no	ninguna	1336	KL152	OCL7	r3-T1
GCA_029477905.1	Brasil	79	2008	si	blaOXA-23	-	KL33	OCL10	r3-T1
GCA_029761775.1	Brasil	15	2010	si	blaOXA-23	225	KL3	OCL7	r3-T13,r3-T14
GCA_029761785.1	Brasil	79	2007	si	blaOXA-23	-	KL9	OCL10	ninguno
GCA_029955785.1	Ecuador	2	2022	si	blaOXA-72	-	KL2	OCL1	r3-T18,r3-T3
GCA_029955865.1	Ecuador	108	2022	si	blaOXA-72	-	KL116	OCL1	r3-T13,r3-T50
GCA_029956025.1	Ecuador	108	2022	si	blaOXA-72	-	KL116	OCL1	r3-T13,r3-T50
GCA_030016845.1	Ecuador	79	2022	no	ninguna	-	KL23	OCL10	r3-T13
GCA_030016875.1	Ecuador	2	2021	si	blaOXA-72	-	KL2	OCL1	r3-T18,r3-T3
GCA_030165035.1	Brasil	15	2020	si	blaOXA-23	225	KL3	OCL7	r3-T14,r3-T16,r3-T3,rP-T1
GCA_030550885.1	Brasil	2	2022	si	blaOXA-23	-	KL7	OCL1	ninguno
GCA_030550895.1	Brasil	2	2022	si	blaOXA-23	-	KL56	OCL1	r3-T1
GCA_030550955.1	Brasil	2	2022	si	blaOXA-23	-	KL9	OCL1	r3-T1,r3-T15,rP-T1
GCA_030550965.1	Brasil	2	2022	si	blaOXA-23	-	KL56	OCL1	r3-T1,r3-T3
GCA_030550975.1	Brasil	2	2022	si	blaOXA-23	-	KL7	OCL1	r3-T1,r3-T15
GCA_030551015.1	Brasil	2	2022	si	blaOXA-23	-	KL7	OCL1	r3-T1,r3-T15
GCA_030551035.1	Brasil	2	2022	si	blaOXA-23	-	KL9	OCL1	r3-T1,r3-T15
GCA_030551055.1	Brasil	2	2022	si	blaOXA-23	-	KL56	OCL1	r3-T1,r3-T3
GCA_030551065.1	Brasil	-	2022	si	blaOXA-23	-	KL9	OCL1	r3-T1,r3-T15,r3-T3
GCA_030551075.1	Brasil	2	2022	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_030551115.1	Brasil	2	2022	si	blaOXA-23	-	KL56	OCL1	r3-T1
GCA_030551135.1	Brasil	2	2022	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_030551145.1	Brasil	2	2022	si	blaOXA-23	-	KL56	OCL1	r3-T1,r3-T3
GCA_030551165.1	Brasil	2	2022	si	blaOXA-23	-	KL56	OCL1	r3-T1
GCA_030551215.1	Brasil	2	2022	si	blaOXA-23	-	KL56	OCL1	r3-T1,r3-T3
GCA_030551235.1	Brasil	2	2022	si	blaOXA-23	-	KL56	OCL1	r3-T1,r3-T3
GCA_030755485.1	Argentina	2	2020	si	blaOXA-23	-	KL2	OCL5	ninguno
GCA_030755775.1	Brasil	15	2019	si	blaNDM,blaOXA-23	236	KL81	OCL7	r3-T14
GCA_030755855.1	Argentina	25	2019	si	blaNDM-1,blaOXA-23	229	KL14	OCL6	r1-T2
GCA_030756075.1	Argentina	2	2017	si	blaOXA-23	-	KL2	OCL5	ninguno
GCA_030756135.1	Argentina	2	2017	si	blaOXA-23	-	KL2	OCL5	ninguno
GCA_030756395.1	Argentina	2	2016	si	blaOXA-23	-	KL2	OCL5	ninguno
GCA_030756425.1	Argentina	25	2016	si	blaNDM-1	229	KL14	OCL6	r1-T2
GCA_031100955.1	Brasil	15	2020	si	blaOXA-23	236	KL81	OCL7	r3-T14
GCA_031100975.1	Brasil	1	2020	si	blaOXA-23	-	KL17	OCL1	r3-T1
GCA_034296425.1	Paraguay	79	2021	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_034296455.1	Paraguay	2	2022	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_034296475.1	Paraguay	2	2021	si	blaOXA-23	-	KL2	OCL5	ninguno
GCA_034296495.1	Paraguay	25	2022	si	blaOXA-23	3276	KL149	OCL5	r3-T3
GCA_034296515.1	Paraguay	2	2022	si	blaOXA-23	-	KL3	OCL1	ninguno
GCA_034296535.1	Paraguay	2526	2021	si	blaOXA-23	3275	KL22	OCL7	r3-T14
GCA_034296555.1	Paraguay	2	2022	si	blaOXA-23	-	KL3	OCL1	ninguno
GCA_034296575.1	Paraguay	79	2021	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_034296595.1	Paraguay	2266	2021	no	ninguna	3274	KL223	OCL21	r3-T31,r3-T5
GCA_034296605.1	Paraguay	79	2021	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_034296615.1	Paraguay	25	2021	si	blaOXA-23	1489	KL77	OCL5	r3-T3,r3-T6
GCA_034296625.1	Paraguay	79	2021	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_034296675.1	Paraguay	25	2021	si	blaOXA-23	691	KL65	OCL10	r3-T14
GCA_034296695.1	Paraguay	1	2022	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_034296705.1	Paraguay	25	2021	si	blaOXA-23	1489	KL22	OCL10	r3-T14
GCA_034296735.1	Paraguay	1	2021	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_034296755.1	Paraguay	25	2022	si	blaOXA-23	3276	KL149	OCL5	r3-T3
GCA_034296765.1	Paraguay	25	2021	si	blaOXA-23	490	KL9	OCL5	r1-T22,r3-T14
GCA_034296795.1	Paraguay	79	2021	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_034296805.1	Paraguay	2526	2021	si	blaOXA-23	3275	KL22	OCL7	r3-T14
GCA_034296825.1	Paraguay	25	2022	si	blaOXA-23	3276	KL149	OCL5	r3-T3
GCA_034296835.1	Paraguay	2	2022	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_034296875.1	Paraguay	2	2022	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_034296895.1	Paraguay	2	2021	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_034296915.1	Paraguay	2	2021	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_034296925.1	Paraguay	2	2021	si	blaOXA-23	-	KL2	OCL5	ninguno
