genoma	gen	gen_contig	gen_ini	gen_fin	contig_len	estado	reps_mismo_contig	dist_min_pb	reps_otros_contigs
GCA_016056095.1	blaOXA-23	JAECUH010000018.1	67401	68219	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T14,rP-T1
GCA_016056095.1	blaOXA-72	JAECUH010000062.1	6317	7141	10209	COLOCALIZADO	r3-T14	879	r3-T1,r3-T14,rP-T1
GCA_016056125.1	blaOXA-23	JAECUI010000082.1	382	1200	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016056145.1	blaOXA-23	JAECUJ010000051.1	26920	27738	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016056145.1	blaKPC	JAECUJ010000133.1	2	688	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016416045.1	blaOXA-23	JAELUO010000033.1	28	846	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T15
GCA_016484945.1	blaOXA-72	DADAJG010000072.1	12069	12893	16673	COLOCALIZADO	r3-T1,r3-T14	879	r3-T1,r3-T14
GCA_016484945.1	blaOXA-72	DADAJG010000191.1	6051	6875	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T14
GCA_016484955.1	blaOXA-72	DADAJL010000112.1	78	902	11501	COLOCALIZADO	r3-T1,r3-T14	879	r3-T1,r3-T14
GCA_016484955.1	blaOXA-72	DADAJL010000427.1	119	943	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T14
GCA_016484985.1	blaOXA-23	DADAJD010000150.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016484985.1	blaOXA-23	DADAJD010000324.1	67	885	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485005.1	blaOXA-23	DADAJK010000002.1	127	945	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T14
GCA_016485005.1	blaOXA-72	DADAJK010000089.1	12069	12893	16673	COLOCALIZADO	r3-T1,r3-T14	917	r3-T1,r3-T14
GCA_016485005.1	blaOXA-72	DADAJK010000420.1	7174	7998	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T14
GCA_016485005.1	blaOXA-23	DADAJK010000429.1	68	886	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T14
GCA_016485025.1	blaOXA-72	DADAJE010000085.1	4366	5190	8970	COLOCALIZADO	r3-T1	917	r3-T1
GCA_016485025.1	blaOXA-72	DADAJE010000163.1	6178	7002	8962	COLOCALIZADO	r3-T1	917	r3-T1
GCA_016485045.1	blaOXA-23	DADAJF010000158.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485045.1	blaOXA-23	DADAJF010000355.1	67	885	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485085.1	blaOXA-23	DADAJH010000124.1	986	1804	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485085.1	blaOXA-23	DADAJH010000494.1	68	886	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485105.1	blaOXA-23	DADAJM010000086.1	13628	14446	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_016485105.1	blaOXA-23	DADAJM010000360.1	67	885	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_016485125.1	blaOXA-72	DADAJJ010000134.1	4366	5190	8970	COLOCALIZADO	r3-T1	917	r3-T1
GCA_016485125.1	blaOXA-72	DADAJJ010000420.1	6178	7002	8962	COLOCALIZADO	r3-T1	917	r3-T1
GCA_016485145.1	blaOXA-72	DADAJQ010000134.1	3093	3917	9812	COLOCALIZADO	r3-T13	783	r3-T13
GCA_016485145.1	blaOXA-72	DADAJQ010000320.1	95	919	NA	NO_EVALUABLE	-	NA	r3-T13
GCA_016485165.1	blaOXA-23	DADAJI010000081.1	127	945	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T14
GCA_016485165.1	blaOXA-72	DADAJI010000142.1	4366	5190	8970	COLOCALIZADO	r3-T1	917	r3-T1,r3-T14
GCA_016485165.1	blaOXA-72	DADAJI010000351.1	6051	6875	8835	COLOCALIZADO	r3-T1	917	r3-T1,r3-T14
GCA_016485165.1	blaOXA-23	DADAJI010000358.1	68	886	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T14
GCA_016485185.1	blaOXA-72	DADAJX010000129.1	5478	6302	10082	COLOCALIZADO	r3-T14	879	r3-T1,r3-T14
GCA_016485185.1	blaOXA-72	DADAJX010000420.1	20	844	2790	COLOCALIZADO	r3-T14	879	r3-T1,r3-T14
GCA_016485205.1	blaOXA-23	DADAJP010000128.1	9067	9885	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485205.1	blaOXA-23	DADAJP010000287.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485225.1	blaOXA-23	DADAJT010000112.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485225.1	blaOXA-23	DADAJT010000247.1	67	885	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485245.1	blaOXA-23	DADAJS010000094.1	13623	14441	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14,r3-T3
GCA_016485245.1	blaOXA-23	DADAJS010000262.1	68	886	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14,r3-T3
GCA_016485265.1	blaOXA-23	DADAJY010000060.1	20433	21251	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485265.1	blaOXA-23	DADAJY010000323.1	68	886	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485285.1	blaOXA-23	DADAJN010000141.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485285.1	blaOXA-23	DADAJN010000350.1	67	885	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485305.1	blaOXA-23	DADAJO010000136.1	7858	8676	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485305.1	blaOXA-23	DADAJO010000333.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485325.1	blaOXA-23	DADAJV010000113.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14
GCA_016485325.1	blaOXA-23	DADAJV010000240.1	68	886	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14
GCA_016485345.1	blaOXA-23	DADAJR010000006.1	26	844	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485345.1	blaOXA-23	DADAJR010000347.1	67	885	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485365.1	blaOXA-23	DADAJU010000049.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485365.1	blaOXA-23	DADAJU010000341.1	67	885	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016485725.1	blaOXA-23	DADAKP010000064.1	31	849	NA	NO_EVALUABLE	-	NA	r3-T18
GCA_016485725.1	blaOXA-23	DADAKP010000084.1	72	890	NA	NO_EVALUABLE	-	NA	r3-T18
GCA_016485745.1	blaOXA-58	DADAKL010000043.1	140	979	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T18
GCA_016485745.1	blaOXA-58	DADAKL010000064.1	58	897	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T18
GCA_016485965.1	blaOXA-23	DADALE010000084.1	33	851	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_016485965.1	blaOXA-23	DADALE010000110.1	74	892	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_016487265.1	blaOXA-58	DADANS010000071.1	1977	2816	7697	COLOCALIZADO	r3-T10	3013	r3-T10,r3-T5
GCA_016487265.1	blaOXA-58	DADANS010000106.1	2016	2855	NA	NO_EVALUABLE	-	NA	r3-T10,r3-T5
GCA_016487725.1	blaOXA-58	DADAOH010000047.1	11714	12553	17469	COLOCALIZADO	r3-T14	7115	r3-T14
GCA_016487725.1	blaOXA-58	DADAOH010000076.1	58	897	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_016609885.1	blaOXA-23	DADBTJ010000069.1	33	851	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_016609885.1	blaOXA-23	DADBTJ010000090.1	74	892	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_017909475.1	blaOXA-23	VCQS01000115.1	41025	41843	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_017909485.1	blaOXA-23	VDBK01000156.1	4658	5476	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14,r3-T3
GCA_017909495.1	blaOXA-23	VDBL01000189.1	8368	9186	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14,r3-T3
GCA_017960395.1	blaOXA-23	VCQR01000091.1	8872	9690	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_018156045.1	blaOXA-58	JAGTAJ010000071.1	141	980	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_018156055.1	blaOXA-58	JAGTAK010000074.1	2578	3417	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T18,r3-T28
GCA_018156065.1	blaOXA-23	JAGTAI010000054.1	140	958	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T3,rP-T1
GCA_018156665.1	blaOXA-23	PNFN01000094.1	48	866	NA	NO_EVALUABLE	-	NA	r3-T15,rP-T1
GCA_018156705.1	blaOXA-23	PNJI01000036.1	44	862	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T13
GCA_018156725.1	blaOXA-23	PNFO01000106.1	49	867	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T13,r3-T15
GCA_018156745.1	blaOXA-72	PNJH01000016.1	12592	13416	16937	COLOCALIZADO	r3-T1,r3-T14	879	r3-T1,r3-T14
GCA_020657695.1	blaOXA-23	JAJDFW010000041.1	1208	2026	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T12,r3-T2,rP-T1
GCA_021402995.1	blaOXA-23	JAJIXP010000054.1	1683	2501	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_023060185.1	blaOXA-23	JALLCL010000063.1	28	846	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14,r3-T3
GCA_023060375.1	blaOXA-72	JALLDY010000056.1	6691	7515	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_023060655.1	blaOXA-72	JALLDO010000063.1	31	855	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_023061035.1	blaOXA-72	JALLCJ010000067.1	1699	2523	8979	COLOCALIZADO	r3-T1	917	r3-T1,r3-T14
GCA_023572255.1	blaOXA-23	JAMKDL010000103.1	26	844	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T94
GCA_023572275.1	blaOXA-23	JAMKDM010000149.1	28	846	NA	NO_EVALUABLE	-	NA	r3-T13
GCA_023572305.1	blaOXA-23	JAMKDN010000053.1	150	968	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T16
GCA_023572445.1	blaOXA-23	JAMKDU010000121.1	6636	7454	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_023572625.1	blaOXA-23	JAMKEC010000035.1	42809	43627	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_024138435.1	blaOXA-23	CP076805.1	37897	38715	105056	COLOCALIZADO	rP-T1	36721	r3-T13,rP-T1
GCA_024139015.1	blaOXA-58	CP076809.1	8039	8878	17469	COLOCALIZADO	r3-T14	7115	r3-T14,r3-T18,r3-T28,r3-T5
GCA_024139035.1	blaOXA-23	CP076812.1	2888303	2889121	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_024139055.1	blaOXA-58	CP076816.1	8039	8878	17469	COLOCALIZADO	r3-T14	7115	r3-T14
GCA_024139075.1	blaOXA-23	CP076818.1	48925	49743	99399	COLOCALIZADO	rP-T1	47749	r3-T13,r3-T14,rP-T1
GCA_024151485.1	blaOXA-23	JAHICB010000033.1	139	957	NA	NO_EVALUABLE	-	NA	r3-T13,rP-T1
GCA_024151505.1	blaOXA-23	JAHICA010000034.1	11054	11872	NA	NO_EVALUABLE	-	NA	r3-T13,rP-T1
GCA_024151525.1	blaOXA-23	JAHICD010000028.1	138	956	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T18,rP-T1
GCA_024151535.1	blaOXA-23	JAHICC010000035.1	185	1003	NA	NO_EVALUABLE	-	NA	r3-T13,rP-T1
GCA_024151565.1	blaOXA-58	JAHICE010000091.1	18	857	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T5
GCA_024151585.1	blaOXA-58	JAHICF010000101.1	18	857	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T18,r3-T28,r3-T5
GCA_024151605.1	blaOXA-58	JAHICG010000101.1	18	857	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T18,r3-T28,r3-T5
GCA_024151615.1	blaOXA-58	JAHICI010000099.1	18	857	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T18,r3-T28,r3-T5
GCA_024151645.1	blaOXA-58	JAHICH010000109.1	31	870	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T18,r3-T28,r3-T5
GCA_024151665.1	blaOXA-58	JAHICJ010000115.1	18	857	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T18,r3-T28
GCA_024151685.1	blaOXA-58	JAHICM010000093.1	31	870	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T18
GCA_024151695.1	blaOXA-58	JAHICK010000108.1	31	870	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T18,r3-T28
GCA_024151725.1	blaOXA-23	JAHICN010000030.1	139	957	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_024151745.1	blaOXA-23	JAHICO010000029.1	138	956	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_024151765.1	blaOXA-23	JAHICR010000041.1	20066	20884	NA	NO_EVALUABLE	-	NA	r3-T14,rP-T1
GCA_024151775.1	blaOXA-23	JAHICQ010000028.1	50615	51433	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_024151795.1	blaOXA-23	JAHICP010000029.1	50615	51433	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_024151825.1	blaOXA-58	JAHICL010000105.1	31	870	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T18,r3-T28
GCA_024151945.1	blaOXA-58	JAHICX010000059.1	31	870	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T18
GCA_024271825.1	blaOXA-23	CP076802.1	37897	38715	88371	COLOCALIZADO	rP-T1	36721	r3-T13,rP-T1
GCA_024505645.2	blaNDM-1	JBCGDB010000134.1	26658	27467	NA	NO_EVALUABLE	-	NA	r3-T15
GCA_024505645.2	blaOXA-58	JBCGDB010000134.1	103232	104071	NA	NO_EVALUABLE	-	NA	r3-T15
GCA_024649355.1	blaNDM-1	JANKKA010000055.1	1251	2060	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_025950435.1	blaNDM-1	JAPDGQ010000086.1	7022	7831	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T3
GCA_025950435.1	blaOXA-58	JAPDGQ010000140.1	18	857	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T3
GCA_025950485.1	blaNDM-1	JAPDGP010000060.1	26658	27467	NA	NO_EVALUABLE	-	NA	r3-T15,r3-T61
GCA_025950485.1	blaOXA-58	JAPDGP010000060.1	103232	104071	NA	NO_EVALUABLE	-	NA	r3-T15,r3-T61
GCA_025971765.1	blaNDM	JAPDKG010000130.1	1475	2263	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T3
GCA_025971765.1	blaOXA-58	JAPDKG010000140.1	31	870	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T3
GCA_025971805.1	blaNDM-1	JAPDKH010000125.1	1272	2081	NA	NO_EVALUABLE	-	NA	r3-T15,r3-T37,r3-T5,r3-T7,rP-T5
GCA_025971805.1	blaOXA-58	JAPDKH010000136.1	18	857	NA	NO_EVALUABLE	-	NA	r3-T15,r3-T37,r3-T5,r3-T7,rP-T5
GCA_025971935.1	blaNDM	JAPDKF010000055.1	2	790	NA	NO_EVALUABLE	-	NA	r3-T15,r3-T168,r3-T60
GCA_026239565.1	blaNDM-1	JAPIWM010000100.1	2102	2911	NA	NO_EVALUABLE	-	NA	r3-T5,r3-T7
GCA_026239565.1	blaOXA-58	JAPIWM010000123.1	31	870	NA	NO_EVALUABLE	-	NA	r3-T5,r3-T7
GCA_026300595.1	blaOXA-23	DAJZEF010000010.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026300595.1	blaOXA-23	DAJZEF010000117.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026301315.1	blaOXA-23	DAJZFQ010000075.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14
GCA_026301315.1	blaOXA-23	DAJZFQ010000098.1	68	886	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14
GCA_026302075.1	blaOXA-23	DAJZHD010000146.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14,r3-T3
GCA_026302075.1	blaOXA-23	DAJZHD010000336.1	68	886	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14,r3-T3
GCA_026311855.1	blaOXA-72	DAJZTF010000083.1	4390	5214	7851	COLOCALIZADO	r3-T18	472	r3-T18,r3-T3
GCA_026311855.1	blaOXA-72	DAJZTF010000153.1	1	825	7891	COLOCALIZADO	r3-T18	472	r3-T18,r3-T3
GCA_026311875.1	blaOXA-72	DAJZTG010000079.1	4390	5214	7851	COLOCALIZADO	r3-T18	472	r3-T18,r3-T3
GCA_026311875.1	blaOXA-72	DAJZTG010000141.1	1	825	7891	COLOCALIZADO	r3-T18	472	r3-T18,r3-T3
GCA_026318965.1	blaOXA-23	DAJZDI010000050.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026318965.1	blaOXA-23	DAJZDI010000237.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026340685.1	blaOXA-72	DAKBLD010000142.1	4390	5214	7851	COLOCALIZADO	r3-T18	472	r3-T18,r3-T3
GCA_026340685.1	blaOXA-72	DAKBLD010000331.1	1	825	7891	COLOCALIZADO	r3-T18	472	r3-T18,r3-T3
GCA_026340785.1	blaOXA-72	DAKBLI010000063.1	4390	5214	7851	COLOCALIZADO	r3-T18	472	r3-T18,r3-T3
GCA_026340785.1	blaOXA-72	DAKBLI010000110.1	1	825	7891	COLOCALIZADO	r3-T18	472	r3-T18,r3-T3
GCA_026340935.1	blaOXA-72	DAKBLF010000086.1	4390	5214	7851	COLOCALIZADO	r3-T18	472	r3-T18,r3-T3
GCA_026340935.1	blaOXA-72	DAKBLF010000153.1	1	825	7891	COLOCALIZADO	r3-T18	472	r3-T18,r3-T3
GCA_026358375.1	blaOXA-23	DAKCOE010000053.1	27555	28373	NA	NO_EVALUABLE	-	NA	r1-T22,r3-T14,r3-T3
GCA_026358375.1	blaOXA-23	DAKCOE010000194.1	67	885	NA	NO_EVALUABLE	-	NA	r1-T22,r3-T14,r3-T3
GCA_026358395.1	blaOXA-23	DAKCOG010000028.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026358395.1	blaOXA-23	DAKCOG010000210.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026358415.1	blaNDM-1	DAKCOD010000113.1	92	901	NA	NO_EVALUABLE	-	NA	r1-T2
GCA_026358415.1	blaNDM-1	DAKCOD010000234.1	133	942	NA	NO_EVALUABLE	-	NA	r1-T2
GCA_026358475.1	blaOXA-23	DAKCOI010000032.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026358475.1	blaOXA-23	DAKCOI010000174.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026358495.1	blaOXA-23	DAKCOJ010000068.1	23407	24225	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026358495.1	blaOXA-23	DAKCOJ010000246.1	67	885	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026358515.1	blaOXA-23	DAKCOK010000030.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026358515.1	blaOXA-23	DAKCOK010000086.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026358555.1	blaOXA-23	DAKCOL010000045.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026358555.1	blaOXA-23	DAKCOL010000245.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026358575.1	blaOXA-23	DAKCOQ010000115.1	27	845	NA	NO_EVALUABLE	-	NA	r1-T4,r3-T26,r3-T3
GCA_026358575.1	blaOXA-23	DAKCOQ010000192.1	68	886	NA	NO_EVALUABLE	-	NA	r1-T4,r3-T26,r3-T3
GCA_026358595.1	blaOXA-23	DAKCOS010000011.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026358595.1	blaOXA-23	DAKCOS010000123.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026358675.1	blaOXA-23	DAKCOO010000015.1	251	1069	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026358675.1	blaOXA-23	DAKCOO010000099.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026358715.1	blaOXA-23	DAKCOT010000124.1	71	889	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_026358715.1	blaOXA-23	DAKCOT010000303.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_026358855.1	blaNDM-1	DAKCPB010000108.1	92	901	NA	NO_EVALUABLE	-	NA	r1-T2
GCA_026358855.1	blaNDM-1	DAKCPB010000202.1	133	942	NA	NO_EVALUABLE	-	NA	r1-T2
GCA_026358875.1	blaOXA-23	DAKCPA010000019.1	26	844	NA	NO_EVALUABLE	-	NA	r3-T3
GCA_026358875.1	blaOXA-23	DAKCPA010000077.1	67	885	NA	NO_EVALUABLE	-	NA	r3-T3
GCA_026358895.1	blaNDM-1	DAKCPD010000120.1	92	901	NA	NO_EVALUABLE	-	NA	r1-T2
GCA_026358895.1	blaNDM-1	DAKCPD010000231.1	133	942	NA	NO_EVALUABLE	-	NA	r1-T2
GCA_026554895.1	blaOXA-23	DAKLZN010000131.1	34	852	NA	NO_EVALUABLE	-	NA	r3-T26,r3-T85,rP-T1
GCA_026554895.1	blaOXA-23	DAKLZN010000168.1	74	892	NA	NO_EVALUABLE	-	NA	r3-T26,r3-T85,rP-T1
GCA_026554915.1	blaOXA-23	DAKLZO010000198.1	32	850	NA	NO_EVALUABLE	-	NA	r3-T26,r3-T3,r3-T85
GCA_026554915.1	blaOXA-23	DAKLZO010000259.1	73	891	NA	NO_EVALUABLE	-	NA	r3-T26,r3-T3,r3-T85
GCA_026555015.1	blaOXA-23	DAKLZP010000127.1	33	851	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_026555015.1	blaOXA-23	DAKLZP010000162.1	51	869	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_026555055.1	blaOXA-23	DAKLZR010000251.1	1194	2012	NA	NO_EVALUABLE	-	NA	r1-T2
GCA_026555055.1	blaOXA-23	DAKLZR010000369.1	74	892	NA	NO_EVALUABLE	-	NA	r1-T2
GCA_026555075.1	blaOXA-72	DAKLZT010000073.1	4076	4900	18039	COLOCALIZADO	r3-T8,r3-T97	1353	r3-T13,r3-T8,r3-T97
GCA_026555075.1	blaOXA-72	DAKLZT010000184.1	6297	7121	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T8,r3-T97
GCA_026555155.1	blaOXA-58	DAKLZW010000206.1	1209	2048	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T34
GCA_026555155.1	blaOXA-58	DAKLZW010000329.1	58	897	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T34
GCA_026555195.1	blaOXA-58	DAKLZY010000078.1	4856	5695	17676	COLOCALIZADO	r3-T14	8592	r3-T14,r3-T34
GCA_026555195.1	blaOXA-58	DAKLZY010000356.1	58	897	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T34
GCA_026555235.1	blaOXA-23	DAKMAD010000226.1	34	852	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_026555235.1	blaOXA-23	DAKMAD010000336.1	75	893	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_026555275.1	blaOXA-23	DAKMAB010000121.1	251	1069	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026555275.1	blaOXA-23	DAKMAB010000372.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026555295.1	blaOXA-23	DAKMAC010000051.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026555295.1	blaOXA-23	DAKMAC010000252.1	61	879	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026555315.1	blaOXA-23	DAKMAE010000133.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026555315.1	blaOXA-23	DAKMAE010000418.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026561215.1	blaOXA-23	DAKMKH010000053.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026561215.1	blaOXA-23	DAKMKH010000209.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026561235.1	blaOXA-23	DAKMKI010000122.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026561235.1	blaOXA-23	DAKMKI010000167.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026561255.1	blaOXA-23	DAKMKJ010000130.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026561255.1	blaOXA-23	DAKMKJ010000306.1	61	879	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026561275.1	blaOXA-23	DAKMKK010000050.1	71	889	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_026561275.1	blaOXA-23	DAKMKK010000262.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_026561295.1	blaOXA-23	DAKMKL010000170.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026561295.1	blaOXA-23	DAKMKL010000369.1	67	885	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026561315.1	blaOXA-23	DAKMKM010000122.1	251	1069	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026561315.1	blaOXA-23	DAKMKM010000262.1	61	879	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026561335.1	blaOXA-23	DAKMKN010000110.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026561335.1	blaOXA-23	DAKMKN010000254.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026561355.1	blaOXA-23	DAKMKO010000047.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_026561355.1	blaOXA-23	DAKMKO010000253.1	44	862	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_026561375.1	blaOXA-23	DAKMKQ010000131.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_026561375.1	blaOXA-23	DAKMKQ010000351.1	66	884	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_026561415.1	blaOXA-23	DAKMKR010000114.1	27	845	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_026561415.1	blaOXA-23	DAKMKR010000277.1	61	879	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_026561435.1	blaOXA-23	DAKMKS010000005.1	26	844	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_026561435.1	blaOXA-23	DAKMKS010000270.1	1	819	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_026561455.1	blaOXA-23	DAKMKT010000128.1	26	844	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026561455.1	blaOXA-23	DAKMKT010000339.1	67	885	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026561475.1	blaOXA-23	DAKMKU010000044.1	27554	28372	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_026561475.1	blaOXA-23	DAKMKU010000120.1	68	886	NA	NO_EVALUABLE	-	NA	r3-T14
